pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2027686,dianping/phoenix,java,262,1378094863,1378094871,1378094872,0,0,github,false,false,2,0,0,0,84,22694,0,0,0,240.46003348902795,5.728386357627567,8.768837578214505,11,marsqing,78,1.0,14,false,true
2027330,dianping/phoenix,java,261,1378081439,1378081447,1378081447,0,0,github,false,false,2,0,0,0,84,22229,0,0,0,243.55571550677044,5.8032300148454725,8.952269557784875,11,marsqing,77,1.0,14,false,true
1995908,dianping/phoenix,java,260,1377655227,1377655233,1377655234,0,0,github,false,false,2,1,0,2,86,22229,0,0,3,243.55571550677044,5.8032300148454725,8.952269557784875,11,marsqing,76,1.0,14,false,true
1984891,dianping/phoenix,java,259,1377495737,1377495744,1377495744,0,0,github,false,false,2,4,0,20,86,22176,63,822,12,222.492784992785,5.817099567099567,8.973665223665224,11,marsqing,75,1.0,14,false,true
2006790,dianping/phoenix,java,258,1376375598,1376375604,1376375604,0,0,github,false,false,2,0,0,0,87,22177,0,0,0,222.48275240113634,5.816837263831898,8.973260585291067,11,marsqing,74,1.0,14,false,true
1922859,dianping/phoenix,java,257,1376287767,1376287772,1376287772,0,0,github,false,false,2,2,0,2,87,22177,0,0,4,222.48275240113634,5.816837263831898,8.973260585291067,11,leoliang,43,1.0,12,false,false
1912637,dianping/phoenix,java,256,1376022983,1376022988,1376022988,0,0,github,false,false,2,1,0,1,87,22177,0,0,2,222.48275240113634,5.816837263831898,8.973260585291067,11,leoliang,42,1.0,12,false,false
1901754,dianping/phoenix,java,255,1375861130,1375920232,1375920232,985,985,github,false,false,2,1,0,1,87,22181,24,0,12,222.44263108065462,5.815788287272891,8.971642396645777,11,songtong,20,0.9,6,false,false
1901140,dianping/phoenix,java,254,1375850861,1375851017,1375851017,2,2,github,false,false,2,3,0,9,87,22160,36,0,5,222.65342960288808,5.82129963898917,8.98014440433213,22,marsqing,73,1.0,28,false,true
2011510,dianping/phoenix,java,253,1375769505,1375769511,1375769511,0,0,github,false,false,2,0,0,0,86,22152,0,0,0,222.73383893102204,5.823401950162514,8.983387504514264,11,leoliang,41,1.0,12,false,false
1890054,dianping/phoenix,java,252,1375676377,1375676383,1375676383,0,0,github,false,false,2,2,0,5,86,22152,13,0,1,222.73383893102204,5.823401950162514,8.983387504514264,11,marsqing,72,1.0,14,false,true
1889620,dianping/phoenix,java,251,1375663210,1375663217,1375663218,0,0,github,false,false,2,1,0,1,86,22152,16,0,3,222.73383893102204,5.823401950162514,8.983387504514264,11,marsqing,71,1.0,14,false,true
1880870,dianping/phoenix,java,250,1375431725,1375857402,1375857403,7094,7094,github,false,false,2,2,0,9,86,22152,58,0,53,222.73383893102204,5.823401950162514,8.983387504514264,11,songtong,19,0.8947368421052632,6,false,false
1785377,dianping/phoenix,java,249,1374067332,1374067344,1374067344,0,0,github,false,false,2,1,0,6,86,21216,167,0,8,228.9781297134238,6.033182503770739,9.37971342383107,11,leoliang,40,1.0,12,false,false
1783449,dianping/phoenix,java,248,1374039817,1374039822,1374039822,0,0,github,false,false,2,4,0,9,86,20990,393,0,9,231.44354454502144,6.098141972367794,9.480705097665556,11,leoliang,39,1.0,12,false,false
1783334,dianping/phoenix,java,247,1374037706,1374555993,1374555994,8638,8638,github,false,false,2,5,0,46,86,20990,3217,100,96,231.44354454502144,6.098141972367794,9.480705097665556,11,songtong,18,0.8888888888888888,6,false,false
1782955,dianping/phoenix,java,246,1374027393,1374027398,1374027398,0,0,github,false,false,2,1,0,4,86,20972,238,0,3,231.64218958611482,6.103375929811177,9.488842265878313,11,marsqing,70,1.0,14,false,true
1777210,dianping/phoenix,java,245,1373954117,1373954124,1373954124,0,0,github,false,false,2,1,0,17,86,20711,363,46,1,232.8231374631838,6.132007145961084,9.60842064603351,11,marsqing,69,1.0,14,false,true
1776992,dianping/phoenix,java,244,1373949265,1373949275,1373949275,0,0,github,false,false,2,2,0,14,86,20382,1257,105,32,233.83377489942106,6.132862329506428,10.156020017662645,11,marsqing,68,1.0,14,false,true
1763675,dianping/phoenix,java,243,1373609631,1373609650,1373609650,0,0,github,false,false,2,2,0,32,87,20174,765,100,41,232.47744621790423,6.443937741647665,10.260731634777436,11,leoliang,38,1.0,12,false,false
1752847,dianping/phoenix,java,242,1373442088,1373442098,1373442098,0,0,github,false,false,2,3,0,10,86,20152,298,15,13,232.13576816196905,6.450972608177849,10.271933306867805,11,leoliang,37,1.0,12,false,false
1752699,dianping/phoenix,java,241,1373439841,1373439846,1373439846,0,0,github,false,false,2,1,0,8,86,20136,47,0,10,232.32022248708782,6.4560985299960265,10.28009535160906,11,marsqing,67,1.0,14,false,true
1752460,dianping/phoenix,java,240,1373435326,1373435341,1373435341,0,0,github,false,false,2,2,0,8,86,20152,465,118,24,231.14331083763398,6.450972608177849,10.271933306867805,11,leoliang,36,1.0,12,false,false
1715896,dianping/phoenix,java,239,1373270925,1373270932,1373270932,0,0,github,false,false,2,1,0,5,86,20131,52,3,23,231.33475733942677,6.457702051562268,10.282648651333764,11,marsqing,66,1.0,14,false,true
1714236,dianping/phoenix,java,238,1373243652,1373243660,1373243660,0,0,github,false,false,2,1,0,1,86,20131,6,0,1,231.33475733942677,6.457702051562268,10.282648651333764,11,marsqing,65,1.0,14,false,true
1699336,dianping/phoenix,java,237,1373010271,1373010284,1373010285,0,0,github,false,false,2,5,0,6,86,20112,64,0,36,231.5533015115354,6.463802704852824,10.292362768496421,11,marsqing,64,1.0,14,false,true
1698380,dianping/phoenix,java,236,1372993030,1373949435,1373949435,15940,15940,github,false,false,2,9,0,58,85,20131,1935,183,134,231.33475733942677,6.457702051562268,10.282648651333764,11,songtong,17,0.8823529411764706,6,false,false
1693223,dianping/phoenix,java,235,1372909031,1372909037,1372909037,0,0,github,false,false,2,1,0,2,85,20112,9,0,3,231.5533015115354,6.463802704852824,10.292362768496421,11,marsqing,63,1.0,14,false,true
1683030,dianping/phoenix,java,234,1372814456,1372814487,1372814487,0,0,github,false,false,2,1,0,1,86,20112,2,0,0,231.5533015115354,6.463802704852824,10.292362768496421,11,songtong,16,0.875,6,false,false
1677572,dianping/phoenix,java,233,1372728697,1372728763,1372728764,1,1,github,false,false,2,1,0,2,86,19501,4,0,0,237.06476590944052,6.615045382288088,10.614840264601815,11,marsqing,62,1.0,14,false,true
1673781,dianping/phoenix,java,232,1372662106,1372662959,1372662959,14,14,github,false,false,2,2,0,2,87,19501,35,0,2,237.06476590944052,6.615045382288088,10.614840264601815,22,marsqing,61,1.0,28,false,true
1673658,dianping/phoenix,java,231,1372659473,1372659584,1372659584,1,1,github,false,false,2,2,0,6,87,19457,74,41,4,236.00760651693477,6.578609240890168,10.587449247057615,11,marsqing,60,1.0,14,false,true
1673491,dianping/phoenix,java,230,1372654740,1372654890,1372654891,2,2,github,false,false,2,5,0,13,87,19433,640,45,133,234.6009365512273,6.535275047599445,10.600524880358154,11,marsqing,59,1.0,14,false,true
1640291,dianping/phoenix,java,229,1372073282,1372139813,1372139813,1108,1108,github,false,false,2,1,0,6,87,19428,102,0,58,234.66131356804613,6.5369569693226275,10.603253036854024,11,leoliang,35,1.0,12,false,false
1638046,dianping/phoenix,java,228,1372055729,1372055880,1372055883,2,2,github,false,false,2,13,0,17,87,19359,230,0,59,235.4977013275479,6.5602562115811764,10.641045508548995,11,marsqing,58,1.0,14,false,true
1635123,dianping/phoenix,java,227,1371975949,1372034003,1372034003,967,967,github,false,false,2,3,0,33,88,19081,3386,0,59,238.92877731775064,6.655835648026834,10.796079870027775,11,leoliang,34,1.0,12,false,false
1616031,dianping/phoenix,java,226,1371607282,1371607404,1371607404,2,2,github,false,false,2,2,0,8,88,19071,157,0,54,239.0540611399507,6.659325677730586,10.801740863090556,10,marsqing,57,1.0,14,false,true
1615866,dianping/phoenix,java,225,1371603793,1371604059,1371604059,4,4,github,false,false,2,2,0,2,88,19043,40,0,5,239.405555847293,6.669117260935777,10.817623273643859,10,leoliang,33,1.0,11,false,false
1613095,dianping/phoenix,java,224,1371565742,1371599929,1371599929,569,569,github,false,false,2,1,0,9,89,18992,170,0,28,240.04844144903117,6.687026116259477,10.846672283066555,10,marsqing,56,1.0,13,false,true
1612876,dianping/phoenix,java,223,1371562753,1371562879,1371562880,2,2,github,false,false,2,1,0,10,89,18901,527,163,47,241.25707634516692,6.719221205227236,10.845986984815617,10,leoliang,32,1.0,11,false,false
1610890,dianping/phoenix,java,222,1371536570,1371543575,1371543575,116,116,github,false,false,2,7,0,6,90,18868,755,0,98,241.67903328386686,6.730973076107695,10.86495654017384,10,leoliang,31,1.0,11,false,false
1605780,dianping/phoenix,java,221,1371459778,1371536598,1371536598,1280,1280,github,false,false,2,1,0,1,90,18868,0,0,9,241.67903328386686,6.730973076107695,10.86495654017384,10,marsqing,55,1.0,13,false,true
1605642,dianping/phoenix,java,220,1371457525,1371457543,1371457543,0,0,github,false,false,2,1,0,2,90,18859,0,0,2,241.79436873641234,6.734185269632536,10.870141576965905,10,marsqing,54,1.0,13,false,true
1605612,dianping/phoenix,java,219,1371457179,1371457555,1371457556,6,6,github,false,false,2,1,0,3,90,18859,80,0,20,241.79436873641234,6.734185269632536,10.870141576965905,20,leoliang,30,1.0,22,false,false
1605512,dianping/phoenix,java,218,1371455591,1371455606,1371455606,0,0,github,false,false,2,6,0,21,91,18841,190,13,73,242.23767315959873,6.7406188631176684,10.88052651133167,10,marsqing,53,1.0,13,false,true
1605003,dianping/phoenix,java,217,1371447316,1371448180,1371448180,14,14,github,false,false,2,1,0,10,91,18699,791,0,16,244.07722338092947,6.791807048505268,10.963153109791968,10,leoliang,29,1.0,11,false,false
1564406,dianping/phoenix,java,216,1370601769,1372813886,1372813886,36868,36868,github,false,false,2,11,0,58,91,18699,1923,48,175,244.07722338092947,6.791807048505268,10.963153109791968,10,songtong,15,0.8666666666666667,6,false,false
1563239,dianping/phoenix,java,215,1370580441,1370580446,1370580446,0,0,github,false,false,2,1,0,2,91,18699,0,0,0,244.07722338092947,6.791807048505268,10.963153109791968,10,marsqing,52,1.0,13,false,true
1563156,dianping/phoenix,java,214,1370578593,1370578695,1370578695,1,1,github,false,false,2,8,0,30,92,18520,555,4,89,246.43628509719224,6.857451403887689,11.069114470842331,10,marsqing,51,1.0,13,false,true
1557863,dianping/phoenix,java,213,1370503906,1370504341,1370504341,7,7,github,false,false,3,1,0,23,92,18307,734,0,79,249.3035450920413,6.937237122412192,11.19790244168897,10,leoliang,28,1.0,11,false,false
1552382,dianping/phoenix,java,212,1370414650,1370414759,1370414759,1,1,github,false,false,3,1,0,1,92,18308,1,0,1,249.28992790037142,6.936858204063797,11.197290801835264,10,leoliang,27,1.0,11,false,false
1552310,dianping/phoenix,java,211,1370413449,1370413622,1370413623,2,2,github,false,false,3,1,0,1,93,18231,114,0,0,250.342822664692,6.966156546541605,11.244583401897867,10,leoliang,26,1.0,11,false,false
1551900,dianping/phoenix,java,210,1370406129,1370406566,1370406566,7,7,github,false,false,3,1,0,1,93,18227,28,0,1,250.39776156251713,6.967685302024469,11.247051078070994,10,leoliang,25,1.0,11,false,false
1551866,dianping/phoenix,java,209,1370404976,1370405094,1370405095,1,1,github,false,false,3,1,0,5,94,18111,447,0,41,252.00154602175473,7.012312958975209,11.319087847164706,10,leoliang,24,1.0,11,false,false
1551870,dianping/phoenix,java,208,1370230874,1370405172,1370405172,2904,2904,commits_in_master,false,false,3,5,0,5,93,18111,136,0,7,252.00154602175473,7.012312958975209,11.319087847164706,10,songtong,14,0.9285714285714286,6,false,false
