Overriding configuration attach_ip=0.0.0.0 with cmd line 130.161.159.244
pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
1943972,MrMasochism/Pixelmon,java,1263,1376689270,,1376691769,41,,1,2,0,8,91,140740,116,0,0,0.0,0.0,0.0,78,Yaseen121,5,0.2,0,false,false
1916927,MrMasochism/Pixelmon,java,1241,1376095619,1376115501,1376115501,331,331,1,1,0,1,87,141044,42,0,6,0.0,0.0,0.0,78,Xwaffle1,13,0.46153846153846156,0,false,false
1912981,MrMasochism/Pixelmon,java,1236,1376015164,1376028105,1376028105,215,215,1,3,0,3,86,141058,30,0,59,0.0,0.0,0.0,38,ghostwolf2398,7,0.14285714285714285,0,false,false
1912005,MrMasochism/Pixelmon,java,1235,1376004622,1376004732,1376004732,1,1,1,1,0,1,86,141061,6,0,3,0.0,0.0,0.0,76,Rhonim,15,0.13333333333333333,0,false,true
1903557,MrMasochism/Pixelmon,java,1226,1375881399,1375893405,1375893405,200,200,1,2,0,3,85,141063,135,0,6,0.0,0.0,0.0,76,Xwaffle1,12,0.4166666666666667,0,false,false
1900616,MrMasochism/Pixelmon,java,1225,1375841040,1375842310,1375842310,21,21,1,5,0,3,85,141063,223,0,69,0.0,0.0,0.0,38,Rhonim,14,0.07142857142857142,0,false,true
1900540,MrMasochism/Pixelmon,java,1224,1375839186,,1375840117,15,,1,5,2,3,84,141063,151,0,0,0.0,0.0,0.0,76,Rhonim,13,0.07692307692307693,0,false,true
1895053,MrMasochism/Pixelmon,java,1218,1375758318,1375776378,1375776378,301,301,1,1,0,2,84,141055,12,0,0,0.0,0.0,0.0,38,Xwaffle1,11,0.45454545454545453,0,false,false
1895607,MrMasochism/Pixelmon,java,1217,1375753147,,1375776373,387,,1,3,1,11,84,141055,106,0,0,0.0,0.0,0.0,38,ghostwolf2398,6,0.16666666666666666,0,false,false
1885922,MrMasochism/Pixelmon,java,1204,1375538667,1375571896,1375571896,553,553,1,2,0,3,82,141033,42,0,4,0.0,0.0,0.0,76,Xwaffle1,10,0.4,0,false,false
1882996,MrMasochism/Pixelmon,java,1203,1375459811,1375489854,1375489854,500,500,1,3,0,2,81,141033,6,0,6,0.0,0.0,0.0,76,Xwaffle1,9,0.4444444444444444,0,false,false
1880285,MrMasochism/Pixelmon,java,1186,1375359946,1375422851,1375422851,1048,1048,1,2,0,4,81,141026,26,0,8,0.0,0.0,0.0,38,Xwaffle1,8,0.375,0,false,false
1868718,MrMasochism/Pixelmon,java,1183,1375242043,1375249638,1375249638,126,126,1,1,0,2,80,140935,6,0,3,0.0,0.0,0.0,38,Xwaffle1,7,0.2857142857142857,0,false,false
1868639,MrMasochism/Pixelmon,java,1182,1375239962,1375249648,1375249648,161,161,1,1,0,13,80,140935,109,0,11,0.0,0.0,0.0,76,LightAdept,31,0.5161290322580645,0,false,false
1868275,MrMasochism/Pixelmon,java,1181,1375230557,1375235803,1375235803,87,87,1,3,0,6,79,137237,1335,0,11,0.0,0.0,0.0,76,Xwaffle1,6,0.16666666666666666,0,false,false
1862862,MrMasochism/Pixelmon,java,1177,1375154896,1375154911,1375154911,0,0,1,5,0,8,79,134651,1251,0,9,0.0,0.0,0.0,76,LightAdept,30,0.5333333333333333,0,false,false
1846407,MrMasochism/Pixelmon,java,1158,1374916253,1374983122,1374983122,1114,1114,1,2,1,2,77,134621,40,0,17,0.0,0.0,0.0,36,Xwaffle1,5,0.2,0,false,false
1845450,MrMasochism/Pixelmon,java,1157,1374878383,1374984188,1374984188,1763,1763,1,2,0,2,77,134624,5,0,33,0.0,0.0,0.0,36,Rhonim,12,0.08333333333333333,0,false,true
1845013,MrMasochism/Pixelmon,java,1155,1374870078,,1374870177,1,,1,2,1,5,76,134613,64,0,0,0.0,0.0,0.0,36,ghostwolf2398,5,0.2,0,false,false
1844797,MrMasochism/Pixelmon,java,1151,1374853665,,1374867492,230,,1,1,1,4,76,134629,59,0,0,0.0,0.0,0.0,36,ghostwolf2398,4,0.25,0,false,false
1837485,MrMasochism/Pixelmon,java,1142,1374801794,1374804563,1374804563,46,46,1,2,0,1,76,134635,28,0,12,0.0,0.0,0.0,36,Xwaffle1,4,0.25,0,false,false
1835732,MrMasochism/Pixelmon,java,1114,1374772934,1374773168,1374773168,3,3,1,1,0,2,75,134629,22,0,11,0.0,0.0,0.0,72,ghostwolf2398,3,0.3333333333333333,0,false,false
1825922,MrMasochism/Pixelmon,java,1113,1374669867,,1374728829,982,,1,4,0,4,74,134631,58,0,0,0.0,0.0,0.0,34,Xwaffle1,3,0.3333333333333333,0,false,false
1813266,MrMasochism/Pixelmon,java,1108,1374574908,1376423999,1376423999,30818,30818,1,1,0,3,74,134627,23,0,2,0.0,0.0,0.0,34,Yaseen121,4,0.25,0,false,false
1810889,MrMasochism/Pixelmon,java,1107,1374537696,1374538764,1374538764,17,17,1,1,0,1,74,134627,2,0,4,0.0,0.0,0.0,68,Rhonim,11,0.09090909090909091,0,false,true
1803300,MrMasochism/Pixelmon,java,1106,1374434130,1374435770,1374435770,27,27,1,1,0,1,73,133278,2,0,4,0.0,0.0,0.0,34,Xwaffle1,2,0.5,0,false,false
1803006,MrMasochism/Pixelmon,java,1105,1374430402,1374435820,1374435820,90,90,1,1,0,1,73,133278,1,0,3,0.0,0.0,0.0,68,Rhonim,10,0.1,0,false,true
1788851,MrMasochism/Pixelmon,java,1099,1374124346,1374124422,1374124422,1,1,1,1,0,1,72,133163,4,0,10,0.0,0.0,0.0,68,Rhonim,9,0.1111111111111111,0,false,true
1775782,MrMasochism/Pixelmon,java,1098,1373922016,1373923529,1373923529,25,25,1,2,0,1,69,133157,7,0,3,0.0,0.0,0.0,34,Rhonim,8,0.125,0,false,true
1775651,MrMasochism/Pixelmon,java,1097,1373919616,1373921217,1373921217,26,26,1,2,0,1,69,133157,2,0,0,0.0,0.0,0.0,68,Rhonim,7,0.14285714285714285,0,false,true
1767362,MrMasochism/Pixelmon,java,1096,1373708684,1373775861,1373775861,1119,1119,1,4,0,4,68,133146,54,0,44,0.0,0.0,0.0,66,Rhonim,6,0.16666666666666666,0,false,true
1767154,MrMasochism/Pixelmon,java,1095,1373699873,,1373708086,136,,1,1,0,1,67,133146,53,0,0,0.0,0.0,0.0,64,Rhonim,5,0.2,0,false,true
1767037,MrMasochism/Pixelmon,java,1094,1373693522,,1373708084,242,,1,2,0,2,67,133146,54,0,0,0.0,0.0,0.0,32,Rhonim,4,0.25,0,false,true
1764629,MrMasochism/Pixelmon,java,1093,1373638066,,1373647173,151,,1,3,0,2,67,133146,23,0,0,0.0,0.0,0.0,32,alexbegt,3,0.6666666666666666,3,false,false
1742052,MrMasochism/Pixelmon,java,1088,1373360190,1373392029,1373392029,530,530,1,1,0,8,66,128054,199,0,15,0.0,0.0,0.0,62,ZeeCount,5,1.0,0,false,false
1713553,MrMasochism/Pixelmon,java,1087,1373225323,1373250007,1373250007,411,411,1,1,0,1,64,128340,11,0,0,0.0,0.0,0.0,31,KaiBB,1,0.0,0,false,false
1707833,MrMasochism/Pixelmon,java,1086,1373165782,1373181044,1373181044,254,254,1,32,0,34,63,128005,819,0,162,0.0,0.0,0.0,62,Hiroku,28,0.7142857142857143,2,false,true
1703462,MrMasochism/Pixelmon,java,1084,1373056174,1373092477,1373092477,605,605,1,2,0,2,62,127875,11,0,12,0.0,0.0,0.0,31,Rhonim,3,0.0,0,false,true
1696749,MrMasochism/Pixelmon,java,1082,1372952880,1373092461,1373092461,2326,2326,1,1,0,4,61,127875,122,0,28,0.0,0.0,0.0,62,ghostwolf2398,2,0.5,0,false,false
1682465,MrMasochism/Pixelmon,java,1079,1372801348,1373092488,1373092488,4852,4852,1,1,0,1,59,127875,2,0,6,0.0,0.0,0.0,31,Rhonim,2,0.0,0,false,true
1677802,MrMasochism/Pixelmon,java,1077,1372735492,1373092568,1373092568,5951,5951,1,6,0,6,58,127875,113,0,38,0.0,0.0,0.0,31,KaiBB,0,0,0,false,false
1663835,MrMasochism/Pixelmon,java,1071,1372393649,1372461199,1372461199,1125,1125,1,9,0,14,55,127163,960,0,94,0.0,0.0,0.0,62,Xwaffle1,0,0,0,false,false
1567677,MrMasochism/Pixelmon,java,1062,1370650074,1371416940,1371416940,12781,12781,1,13,2,19,43,126608,603,0,130,0.0,0.0,0.0,56,ghostwolf2398,1,1.0,0,false,false
1563322,MrMasochism/Pixelmon,java,1060,1370582696,1370638425,1370638425,928,928,1,1,0,1,39,126051,12,0,0,0.0,0.0,0.0,28,Rhonim,1,0.0,0,false,true
1548923,MrMasochism/Pixelmon,java,1053,1370358305,1370364440,1370364440,102,102,1,3,0,2,36,126046,36,0,14,0.0,0.0,0.0,54,ghostwolf2398,0,0,0,false,false
1717115,MrMasochism/Pixelmon,java,1046,1369983373,1369985873,1369985873,41,41,1,2,0,5,34,126134,642,0,1,0.0,0.0,0.0,54,zorakirby,0,0,0,false,false
1528560,MrMasochism/Pixelmon,java,1037,1369744896,1369954818,1369954818,3498,3498,1,1,0,1,33,126131,40,0,1,0.0,0.0,0.0,54,Rhonim,0,0,0,false,true
1523507,MrMasochism/Pixelmon,java,1035,1369657290,1369954828,1369954828,4958,4958,1,2,1,1,32,126131,6,0,10,0.0,0.0,0.0,27,GoonRacer,1,0.0,0,false,false
1510554,MrMasochism/Pixelmon,java,1018,1369288797,1369288958,1369288958,2,2,1,2,0,1,31,126094,4,0,1,0.0,0.0,0.0,54,LightAdept,28,0.5714285714285714,0,false,false
1709917,MrMasochism/Pixelmon,java,1017,1369281072,1369284526,1369284526,57,57,1,1,0,1,30,126199,1198,0,6,0.0,0.0,0.0,27,LightAdept,27,0.5555555555555556,0,false,false
1709579,MrMasochism/Pixelmon,java,1016,1369262017,1369269364,1369269364,122,122,1,3,0,5,30,125165,1911,0,31,0.0,0.0,0.0,27,LightAdept,26,0.5384615384615384,0,false,false
1708382,MrMasochism/Pixelmon,java,1011,1369174958,1369192074,1369192074,285,285,1,1,0,3,28,123349,1900,0,21,0.0,0.0,0.0,27,LightAdept,25,0.52,0,false,false
1707268,MrMasochism/Pixelmon,java,1007,1369105044,1369111207,1369111207,102,102,1,1,0,4,30,122417,2112,0,20,0.0,0.0,0.0,27,LightAdept,24,0.5,0,false,false
1499557,MrMasochism/Pixelmon,java,999,1369002771,1369019605,1369019605,280,280,1,1,0,6,30,121935,1640,0,55,0.0,0.0,0.0,54,LightAdept,23,0.5217391304347826,0,false,false
1484562,MrMasochism/Pixelmon,java,974,1368662831,1368663278,1368663278,7,7,1,6,1,8,36,121607,94,0,38,0.0,0.0,0.0,54,garrettjones331,26,0.9230769230769231,0,false,false
1473847,MrMasochism/Pixelmon,java,965,1368493237,1368594670,1368594670,1690,1690,1,1,0,1,35,121491,324,0,5,0.0,0.0,0.0,27,GoonRacer,0,0,0,false,false
1463429,MrMasochism/Pixelmon,java,950,1368236833,1368323616,1368323616,1446,1446,1,3,0,5,37,120980,1355,0,54,0.0,0.0,0.0,54,LightAdept,22,0.5454545454545454,0,false,false
1458728,MrMasochism/Pixelmon,java,936,1368151728,1368151811,1368151811,1,1,1,1,0,3,38,120968,10,0,9,0.0,0.0,0.0,27,LightAdept,21,0.5714285714285714,0,false,false
1458079,MrMasochism/Pixelmon,java,932,1368135566,1368135671,1368135671,1,1,1,3,0,2,38,119952,1895,0,23,0.0,0.0,0.0,54,LightAdept,20,0.6,0,false,false
1453512,MrMasochism/Pixelmon,java,922,1368061629,1368079748,1368079748,301,301,1,1,0,2,37,119532,457,0,1,0.0,0.0,0.0,54,LightAdept,19,0.631578947368421,0,false,false
1448415,MrMasochism/Pixelmon,java,905,1367983051,1367993461,1367993461,173,173,1,3,0,6,35,116811,3889,0,26,0.0,0.0,0.0,26,LightAdept,18,0.6666666666666666,0,false,false
1444442,MrMasochism/Pixelmon,java,903,1367915884,,1367947084,520,,1,1,0,1,34,116811,1,0,0,0.0,0.0,0.0,52,CraftBattleDuty,0,0,0,false,false
1414689,MrMasochism/Pixelmon,java,881,1367332767,1367354080,1367354080,355,355,1,1,0,1,34,116592,2,0,5,0.0,0.0,0.0,50,alexbegt,2,1.0,6,false,false
1405886,MrMasochism/Pixelmon,java,878,1367207373,,1367217487,168,,1,6,1,12,34,116630,63,0,0,0.0,0.0,0.0,50,GodOfWar526,62,0.8870967741935484,0,false,false
1405830,MrMasochism/Pixelmon,java,877,1367205765,,1367206212,7,,1,5,0,10,34,116630,41,0,0,0.0,0.0,0.0,50,GodOfWar526,61,0.9016393442622951,0,false,false
1405378,MrMasochism/Pixelmon,java,876,1367193364,1367200976,1367200976,126,126,1,1,0,4,34,115230,2768,0,41,0.0,0.0,0.0,50,Ledia,0,0,0,false,false
1401550,MrMasochism/Pixelmon,java,874,1366953785,1367178605,1367178605,3747,3747,1,5,6,45,32,115192,564,0,594,0.0,0.0,0.0,25,garrettjones331,25,0.96,0,false,false
1742792,MrMasochism/Pixelmon,java,871,1366854707,,1366913026,971,,1,7,0,10,32,110461,5182,0,45,0.0,0.0,0.0,25,LightAdept,17,0.7058823529411765,0,false,false
1738455,MrMasochism/Pixelmon,java,868,1366762055,1366838529,1366838529,1274,1274,1,2,0,9,32,107067,4717,0,43,0.0,0.0,0.0,50,LightAdept,16,0.6875,0,false,false
1394312,MrMasochism/Pixelmon,java,863,1366497951,,1366498339,6,,1,1,0,0,32,107064,0,0,0,0.0,0.0,0.0,50,GodOfWar526,60,0.9166666666666666,0,false,false
1387782,MrMasochism/Pixelmon,java,861,1366324371,1366335773,1366335773,190,190,1,8,0,18,31,100757,6128,0,78,0.0,0.0,0.0,50,LightAdept,15,0.6666666666666666,0,false,false
1375630,MrMasochism/Pixelmon,java,856,1366099004,1366131638,1366131638,543,543,1,3,0,4,32,100743,108,0,40,0.0,0.0,0.0,50,Hiroku,27,0.7037037037037037,0,false,true
1366228,MrMasochism/Pixelmon,java,852,1365847962,1365878970,1365878970,516,516,1,1,0,6,32,96480,4082,0,14,0.0,0.0,0.0,50,LightAdept,14,0.6428571428571429,0,false,false
1365556,MrMasochism/Pixelmon,java,851,1365818256,1365879454,1365879454,1019,1019,1,32,0,67,32,96480,2229,0,441,0.0,0.0,0.0,50,Hiroku,26,0.6923076923076923,0,false,true
1365242,MrMasochism/Pixelmon,java,850,1365805581,1365879483,1365879483,1231,1231,1,1,0,9,32,96480,167,0,59,0.0,0.0,0.0,50,ZeeCount,4,1.0,0,false,false
1360422,MrMasochism/Pixelmon,java,847,1365709485,1365803704,1365803704,1570,1570,1,1,0,30,34,96461,135,0,124,0.0,0.0,0.0,50,ZeeCount,3,1.0,0,false,false
