pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,git_merged,conflict,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
1967029,puppetlabs/facter,ruby,525,1377124177,1377125063,1377125063,14,14,true,false,21,2,0,2,39,6432,3,14,2,2643.5012437810947,121.113184079602,204.9129353233831,574,jpartlow,2,0.0,2,false,true
1965870,puppetlabs/facter,ruby,524,1377108950,1377116961,1377116961,133,133,true,false,22,1,0,2,39,6428,10,14,3,2644.6795270690727,121.03298070939638,204.8848786558805,574,jpartlow,1,0.0,2,false,true
1960162,puppetlabs/facter,ruby,523,1377030303,1377037821,1377037821,125,125,true,false,21,2,0,91,39,6348,253,112,0,2401.8588531821047,121.77063642091998,206.36420919974796,574,erjohnso,0,0,2,false,false
1954143,puppetlabs/facter,ruby,520,1376943878,1376945252,1376945252,22,22,true,false,20,1,0,2,40,5980,6,37,7,2042.6421404682276,123.57859531772574,202.8428093645485,574,joshcooper,14,0.7142857142857143,10,false,true
1954138,puppetlabs/facter,ruby,519,1376943841,1376943852,1376943852,0,0,true,false,20,1,0,2,40,6346,6,37,7,2401.0400252127324,121.49385439647021,205.32618972581153,574,joshcooper,13,0.7692307692307693,10,false,true
1953158,puppetlabs/facter,ruby,518,1376932546,1376939317,1376939317,112,112,true,false,20,2,3,2,40,5976,16,30,5,2042.0013386880855,123.49397590361446,202.81124497991968,574,ferventcoder,6,0.0,252,false,false
1933058,puppetlabs/facter,ruby,516,1376512039,,1376513115,17,,false,false,19,2,0,2,40,6342,16,0,0,2400.6622516556295,121.41280353200882,205.2980132450331,287,apenney,11,0.2727272727272727,7,false,false
1926056,puppetlabs/facter,ruby,515,1376412697,1376596278,1376596278,3059,3059,true,false,19,1,0,1,39,5976,0,0,2,2042.0013386880855,123.49397590361446,202.81124497991968,574,melissaanne,4,0.0,4,false,false
1910372,puppetlabs/facter,ruby,512,1375979819,,1376930455,15843,,false,false,19,2,16,1,40,6352,0,0,0,2396.410579345088,121.06423173803526,204.81738035264482,574,ccaviness,1,0.0,0,false,false
1902136,puppetlabs/facter,ruby,511,1375866031,,1376454656,9810,,false,false,19,1,0,2,40,6327,4,26,0,2403.192666350561,121.22648964754228,204.99446815236288,287,agx,0,0,0,false,false
1884952,puppetlabs/facter,ruby,509,1375504123,1376004627,1376004627,8341,8341,true,false,18,2,2,1,41,6295,15,0,1,2411.278792692613,121.36616362192217,205.87768069896745,287,mzeren-vmw,0,0,1,false,false
1881994,puppetlabs/facter,ruby,508,1375447512,1375732668,1375732668,4752,4752,true,false,18,3,0,3,41,5968,103,35,0,2040.717158176944,123.156836461126,202.5804289544236,574,ferventcoder,5,0.0,252,false,false
1878738,puppetlabs/facter,ruby,507,1375387610,1375447489,1375447489,997,997,true,false,18,4,0,3,41,6295,65,59,0,2411.278792692613,121.36616362192217,205.87768069896745,574,ferventcoder,4,0.0,252,false,false
1859817,puppetlabs/facter,ruby,506,1375107917,,1376410581,21711,,false,false,17,1,0,1,45,6168,3,0,0,2431.420233463035,119.48767833981843,200.06485084306098,287,lardcanoe,0,0,1,false,false
1854558,puppetlabs/facter,ruby,505,1375009529,1375716612,1375716612,11784,11784,true,false,16,2,3,18,45,6168,147,93,37,2431.420233463035,119.48767833981843,200.06485084306098,574,jasperla,4,0.0,38,false,false
1860513,puppetlabs/facter,ruby,504,1374848450,1375115981,1375115981,4458,4458,true,false,16,1,0,2,46,6163,2,2,2,2432.7437936070096,119.42235924062956,200.06490345610902,287,StephenBrown2,0,0,1,false,false
1827953,puppetlabs/facter,ruby,503,1374688604,1374770228,1374770228,1360,1360,true,false,16,1,0,2,47,6167,6,2,4,2431.165882925247,119.34490027566078,199.93513864115454,574,jasperla,3,0.0,38,false,false
1827450,puppetlabs/facter,ruby,502,1374685768,1374689831,1374689831,67,67,true,false,16,1,0,2,47,6167,2,2,4,2431.165882925247,119.34490027566078,199.93513864115454,574,adrienthebo,38,0.5263157894736842,138,false,false
1827366,puppetlabs/facter,ruby,501,1374684960,1374867599,1374867599,3043,3043,true,false,17,4,4,2,45,6167,36,16,2,2431.165882925247,119.34490027566078,199.93513864115454,287,jasperla,2,0.0,19,false,false
1811473,puppetlabs/facter,ruby,498,1374548124,1374548377,1374548377,4,4,true,false,16,1,0,2,45,6165,0,0,0,2428.7104622871047,118.73479318734793,199.1889699918897,574,haus,36,0.8611111111111112,44,false,true
1800550,puppetlabs/facter,ruby,497,1374346631,1376411692,1376411692,34417,34417,true,false,16,3,0,2,44,6137,7,28,9,2439.7914290369886,119.27651947205476,200.0977676389115,574,lmello,0,0,6,false,false
1816015,puppetlabs/facter,ruby,496,1374253587,,1375217652,16067,,false,false,17,22,3,18,43,6137,403,856,0,2439.7914290369886,119.27651947205476,200.0977676389115,287,ferventcoder,3,0.0,126,false,false
1787353,puppetlabs/facter,ruby,494,1374091078,1374508512,1374508512,6957,6957,true,false,17,3,2,4,44,6137,208,4,3,2439.7914290369886,119.27651947205476,200.0977676389115,287,adrienthebo,37,0.5405405405405406,69,false,false
