pull_req_id, project_name, github_id, created_at,merged_at, lifetime_minutes, team_size_at_merge, num_commits, num_commit_comments, num_issue_comments, num_comments, total_commits_last_month, main_team_commits_last_month, sloc, churn, commits_on_files_touched, test_lines_per_1000_lines, test_cases_per_1000_lines, assertions_per_1000_lines
455543, capistrano, 304, 1352433080, 1352443709, 177, 2, 2, 0, 2, 2, 23, 9, 4577, 15, 2, 991.6976185274196, 129.5608477168451, 147.69499672274418
455544, capistrano, 303, 1352404917, 1352443708, 646, 2, 1, 0, 1, 1, 23, 9, 4577, 19, 2, 991.6976185274196, 129.5608477168451, 147.69499672274418
410458, capistrano, 272, 1347653159, 1347939749, 4776, 1, 1, 0, 0, 0, 18, 8, 4433, 15, 2, 1005.4139408978118, 131.5136476426799, 150.23685991427925
334897, capistrano, 254, 1345258142, 1345446237, 3134, 3, 1, 0, 4, 4, 19, 16, 4428, 9, 4, 1004.7425474254743, 131.43631436314362, 149.50316169828366
15305, capistrano, 242, 1342749099, 1344490737, 29027, 3, 1, 0, 9, 9, 25, 9, 4421, 22, 2, 1004.7500565482923, 131.41823116941868, 149.51368468672246
455458, capistrano, 246, 1343397594, 1343795218, 6627, 3, 1, 0, 17, 17, 47, 6, 4421, 26, 7, 1004.7500565482923, 131.41823116941868, 149.51368468672246
196841, capistrano, 237, 1341837677, 1343685147, 30791, 3, 1, 0, 0, 0, 44, 4, 4421, 2, 1, 1004.7500565482923, 131.41823116941868, 149.51368468672246
148900, capistrano, 222, 1338969774, 1343314589, 72413, 3, 1, 0, 6, 6, 43, 3, 4421, 5, 0, 1004.7500565482923, 131.41823116941868, 149.51368468672246
148938, capistrano, 223, 1338971803, 1343276581, 71746, 3, 0, 0, 4, 4, 42, 2, 4421, 0, 0, 1004.7500565482923, 131.41823116941868, 149.51368468672246
191614, capistrano, 236, 1341541912, 1343190151, 27470, 2, 1, 0, 0, 0, 40, 0, 4422, 5, 1, 1002.7137042062415, 130.9362279511533, 149.02758932609677
142547, capistrano, 217, 1338473812, 1338544990, 1186, 1, 1, 0, 0, 0, 9, 1, 4422, 2, 1, 1002.7137042062415, 130.9362279511533, 149.02758932609677
119060, capistrano, 202, 1336646689, 1336655875, 153, 1, 1, 0, 3, 3, 24, 17, 4419, 7, 1, 1003.3944331296674, 131.02511880515954, 149.12876216338537
100751, capistrano, 194, 1334737878, 1335247111, 8487, 1, 2, 0, 1, 1, 20, 15, 4408, 12, 2, 1002.268602540835, 130.44464609800363, 148.59346642468242
96433, capistrano, 197, 1334871124, 1335246997, 6264, 1, 1, 0, 2, 2, 20, 15, 4419, 6, 1, 1003.3944331296674, 131.02511880515954, 149.12876216338537
96308, capistrano, 196, 1334863120, 1334864618, 24, 1, 1, 0, 4, 4, 18, 14, 4408, 32, 2, 1002.268602540835, 130.44464609800363, 148.59346642468242
93635, capistrano, 192, 1334690842, 1334726313, 591, 1, 1, 0, 0, 0, 27, 13, 4408, 2, 2, 1002.268602540835, 130.44464609800363, 148.59346642468242
87865, capistrano, 144, 1326711628, 1334247956, 125665, 1, 1, 0, 1, 1, 28, 0, 4310, 21, 0, 1030.6264501160092, 134.10672853828308, 151.97215777262178
297493, capistrano, 141, 1326257725, 1334247769, 133227, 1, 1, 0, 0, 0, 28, 0, 4310, 4, 0, 1030.6264501160092, 134.10672853828308, 151.97215777262178
39146, capistrano, 167, 1329911624, 1334247358, 72322, 1, 1, 0, 1, 1, 28, 0, 4312, 13, 0, 1017.3933209647495, 132.65306122448982, 150.7421150278293
87849, capistrano, 145, 1326888205, 1334247185, 122709, 1, 1, 0, 2, 2, 28, 0, 4310, 7, 0, 1030.6264501160092, 134.10672853828308, 151.97215777262178
35374, capistrano, 155, 1329678406, 1334246725, 76198, 1, 1, 0, 0, 0, 28, 0, 4317, 11, 0, 1026.63886958536, 133.42599027102153, 151.7257354644429
54146, capistrano, 185, 1332096208, 1334246660, 35900, 1, 26, 0, 5, 5, 28, 0, 4327, 411, 27, 1017.5641321932054, 132.42431245666745, 150.6817656574994
38602, capistrano, 166, 1329865694, 1334246408, 73071, 1, 1, 0, 1, 1, 28, 0, 4312, 4, 0, 1017.3933209647495, 132.65306122448982, 150.7421150278293
87835, capistrano, 176, 1331219056, 1334246366, 50515, 1, 1, 0, 0, 0, 28, 0, 4323, 3, 0, 1018.5056673606292, 132.5468424705066, 150.8211889891279
87833, capistrano, 172, 1330549000, 1334246284, 61681, 1, 1, 0, 3, 3, 28, 0, 4312, 17, 0, 1017.3933209647495, 132.65306122448982, 150.7421150278293
54137, capistrano, 184, 1332095776, 1334246196, 35900, 1, 1, 0, 16, 16, 28, 0, 4327, 6, 2, 1017.5641321932054, 132.42431245666745, 150.6817656574994
455459, capistrano, 179, 1331401613, 1331402037, 7, 2, 1, 0, 0, 0, 32, 19, 4323, 10, 4, 1018.5056673606292, 132.5468424705066, 150.8211889891279
455460, capistrano, 175, 1331173709, 1331189181, 257, 2, 1, 0, 2, 2, 29, 18, 4312, 34, 3, 1017.3933209647495, 132.65306122448982, 150.7421150278293
375216, capistrano, 161, 1329768266, 1329808223, 665, 2, 1, 0, 0, 0, 20, 16, 4312, 1, 2, 1017.3933209647495, 132.65306122448982, 150.7421150278293
36871, capistrano, 162, 1329771729, 1329808204, 607, 2, 1, 0, 0, 0, 20, 16, 4312, 2, 3, 1017.3933209647495, 132.65306122448982, 150.7421150278293
36769, capistrano, 160, 1329767168, 1329767704, 8, 2, 1, 0, 0, 0, 8, 7, 4312, 1, 1, 1017.3933209647495, 132.65306122448982, 150.7421150278293
276948, capistrano, 139, 1325868422, 1329665742, 63288, 2, 1, 0, 1, 1, 0, 0, 4310, 6, 0, 1030.6264501160092, 134.10672853828308, 151.97215777262178
276947, capistrano, 142, 1326650932, 1329665526, 50243, 2, 1, 0, 1, 1, 0, 0, 4310, 13, 0, 1030.6264501160092, 134.10672853828308, 151.97215777262178
455476, capistrano, 99, 1314977505, 1323603876, 143712, 2, 1, 0, 0, 0, 5, 2, 4194, 22, 0, 1015.7367668097281, 132.57033857892228, 149.49928469241775
455469, capistrano, 111, 1317913639, 1323603732, 94774, 2, 2, 0, 3, 3, 5, 2, 4229, 24, 0, 1026.7202648380232, 133.83778671080634, 150.62662567982974
455462, capistrano, 130, 1322183681, 1323603709, 23667, 2, 1, 0, 2, 2, 5, 2, 4229, 12, 3, 1026.7202648380232, 133.83778671080634, 150.62662567982974
455471, capistrano, 108, 1316909519, 1323603693, 111509, 2, 1, 0, 2, 2, 5, 2, 4229, 7, 0, 1026.7202648380232, 133.83778671080634, 150.62662567982974
455470, capistrano, 109, 1317021579, 1323603576, 109639, 2, 1, 0, 2, 2, 5, 2, 4229, 10, 0, 1026.7202648380232, 133.83778671080634, 150.62662567982974
455500, capistrano, 50, 1307390908, 1323603470, 270149, 2, 11, 0, 10, 10, 5, 2, 4229, 196, 0, 1026.7202648380232, 133.83778671080634, 150.62662567982974
455466, capistrano, 118, 1319012554, 1323603414, 76454, 2, 1, 0, 0, 0, 5, 2, 4229, 20, 0, 1026.7202648380232, 133.83778671080634, 150.62662567982974
455463, capistrano, 129, 1322002598, 1323602613, 26666, 2, 1, 0, 1, 1, 5, 2, 4229, 2, 1, 1026.7202648380232, 133.83778671080634, 150.62662567982974
455468, capistrano, 112, 1318544349, 1323602530, 84243, 2, 1, 0, 0, 0, 5, 2, 4229, 2, 0, 1026.7202648380232, 133.83778671080634, 150.62662567982974
455465, capistrano, 121, 1319622630, 1323602502, 66271, 2, 1, 0, 7, 7, 5, 2, 4229, 2, 0, 1026.7202648380232, 133.83778671080634, 150.62662567982974
455464, capistrano, 126, 1321007144, 1321351587, 5740, 2, 1, 0, 1, 1, 7, 1, 4229, 12, 1, 1026.7202648380232, 133.83778671080634, 150.62662567982974
