pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,git_merged,conflict,forward_links,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
905817,dkomanov/fizteh-java-task,java,562,1356507307,1356507886,1356507886,9,9,false,false,false,1,1,0,4,71,56821,600,0,5,12.073001179141514,0.0,0.0,4,FrolovNikolay,30,1.0,0,false,false
903270,dkomanov/fizteh-java-task,java,561,1356280690,1356292021,1356292021,188,188,false,false,false,1,1,0,2,71,56739,289,0,4,12.090449250074904,0.0,0.0,2,AlTimin,37,0.972972972972973,0,false,false
902255,dkomanov/fizteh-java-task,java,560,1356180678,1356182260,1356182260,26,26,false,false,false,1,3,0,12,71,56473,942,0,29,12.147397871549236,0.0,0.0,4,tolyapro,49,0.9183673469387755,2,false,false
902216,dkomanov/fizteh-java-task,java,559,1356175688,1356180709,1356180710,83,83,false,false,false,1,1,0,4,71,56473,176,0,31,12.147397871549236,0.0,0.0,4,FedyuninV,58,0.8620689655172413,8,false,false
902208,dkomanov/fizteh-java-task,java,558,1356175144,1356176384,1356176384,20,20,false,false,false,1,2,0,10,71,56473,552,0,16,12.147397871549236,0.0,0.0,2,tolyapro,48,0.9166666666666666,1,false,false
902200,dkomanov/fizteh-java-task,java,557,1356174359,1356187071,1356187071,211,211,false,false,false,1,5,0,2,71,56473,66,0,28,12.147397871549236,0.0,0.0,4,harius,17,1.0,6,false,false
902196,dkomanov/fizteh-java-task,java,556,1356173949,1356174055,1356174055,1,1,false,false,false,1,2,1,4,71,56110,501,0,18,12.22598467296382,0.0,0.0,2,FedyuninV,57,0.8596491228070176,4,false,false
902199,dkomanov/fizteh-java-task,java,555,1356173936,1356173970,1356173970,0,0,false,false,false,1,1,0,1,71,56110,59,0,14,12.22598467296382,0.0,0.0,4,AlmazNasibullin,38,0.9736842105263158,0,false,false
902193,dkomanov/fizteh-java-task,java,554,1356172219,1356173431,1356173431,20,20,false,false,false,1,4,0,16,71,55782,611,0,78,12.297873866121687,0.0,0.0,4,harius,16,1.0,6,false,false
902176,dkomanov/fizteh-java-task,java,553,1356171408,,1356291990,2009,,false,false,false,1,2,1,4,71,56473,20,0,0,12.147397871549236,0.0,0.0,4,Anymax,19,0.7894736842105263,0,false,false
901845,dkomanov/fizteh-java-task,java,552,1356138321,1356172035,1356172035,561,561,false,false,false,1,1,0,3,71,55694,215,0,11,12.317305275254066,0.0,0.0,4,AlTimin,36,0.9722222222222222,0,false,false
902174,dkomanov/fizteh-java-task,java,551,1356125088,1356171963,1356171963,781,781,false,false,false,1,6,1,2,71,55694,172,0,56,12.317305275254066,0.0,0.0,4,AlmazNasibullin,37,0.972972972972973,0,false,false
901555,dkomanov/fizteh-java-task,java,550,1356122374,1356123805,1356123805,23,23,false,false,false,1,2,0,1,71,55694,20,0,12,12.317305275254066,0.0,0.0,4,AlmazNasibullin,36,0.9722222222222222,0,false,false
901478,dkomanov/fizteh-java-task,java,549,1356120969,1356121288,1356121288,5,5,false,false,false,1,1,0,1,71,55626,266,0,5,12.332362564268507,0.0,0.0,4,AlmazNasibullin,35,0.9714285714285714,0,false,false
901305,dkomanov/fizteh-java-task,java,548,1356115122,1356116181,1356116181,17,17,false,false,false,1,3,0,13,71,55398,341,0,13,12.383118524134444,0.0,0.0,2,Anymax,18,0.7777777777777778,0,false,false
901220,dkomanov/fizteh-java-task,java,547,1356106915,1356112460,1356112460,92,92,false,false,false,1,1,0,4,71,55345,277,0,12,12.39497696268859,0.0,0.0,2,AlmazNasibullin,34,0.9705882352941176,0,false,false
899809,dkomanov/fizteh-java-task,java,546,1356026388,1356026568,1356026568,3,3,false,false,false,1,1,0,2,72,55190,8,0,5,12.429788005073384,0.0,0.0,4,FrolovNikolay,29,1.0,0,false,false
898047,dkomanov/fizteh-java-task,java,545,1355960122,1356024605,1356024605,1074,1074,false,false,false,1,2,0,3,72,54944,256,0,12,12.485439720442631,0.0,0.0,4,verytable,32,1.0,0,false,false
897225,dkomanov/fizteh-java-task,java,544,1355937043,1356113374,1356113374,2938,2938,false,false,false,1,2,1,11,72,54944,337,0,13,12.485439720442631,0.0,0.0,2,Anymax,17,0.7647058823529411,0,false,false
897667,dkomanov/fizteh-java-task,java,543,1355923785,1356024273,1356024273,1674,1674,false,false,false,1,2,0,3,72,54944,140,0,4,12.485439720442631,0.0,0.0,2,FrolovNikolay,28,1.0,0,false,false
895116,dkomanov/fizteh-java-task,java,542,1355860533,1356039992,1356039992,2990,2990,false,false,false,1,2,0,1,72,54944,238,0,4,12.485439720442631,0.0,0.0,4,AlmazNasibullin,33,0.9696969696969697,0,false,false
757009,dkomanov/fizteh-java-task,java,541,1355746551,1355770766,1355770766,403,403,false,false,false,1,1,0,4,72,54506,1164,0,17,12.585770373903792,0.0,0.0,2,olbabushkin,6,0.16666666666666666,0,false,false
756327,dkomanov/fizteh-java-task,java,540,1355725684,1355771004,1355771004,755,755,false,false,false,1,2,0,2,72,54506,566,0,9,12.585770373903792,0.0,0.0,4,AlmazNasibullin,32,0.96875,0,false,false
755771,dkomanov/fizteh-java-task,java,539,1355697023,1355774288,1355774288,1287,1287,false,false,false,1,8,0,11,72,54323,909,0,11,12.62816854739245,0.0,0.0,4,FedyuninV,56,0.8571428571428571,8,false,false
755754,dkomanov/fizteh-java-task,java,538,1355695962,,1355696826,14,,false,false,false,1,3,0,2,72,54506,12,0,0,12.585770373903792,0.0,0.0,2,FedyuninV,55,0.8727272727272727,4,false,false
754646,dkomanov/fizteh-java-task,java,537,1355637864,1355694185,1355694185,938,938,false,false,false,1,2,1,7,72,52355,992,0,18,13.10285550568236,0.0,0.0,4,AlmazNasibullin,31,0.967741935483871,0,false,false
753882,dkomanov/fizteh-java-task,java,536,1355596341,1355694334,1355694334,1633,1633,false,false,false,1,21,1,46,72,52355,1522,0,3,13.10285550568236,0.0,0.0,4,harius,15,1.0,6,false,false
753705,dkomanov/fizteh-java-task,java,535,1355589659,1355663177,1355663177,1225,1225,false,false,false,1,1,0,1,72,52355,119,0,3,13.10285550568236,0.0,0.0,2,YuliaNikonova,22,1.0,0,false,false
753664,dkomanov/fizteh-java-task,java,534,1355588233,1355648272,1355648272,1000,1000,false,false,false,1,1,0,2,72,52355,38,0,5,13.10285550568236,0.0,0.0,4,AlexanderKuzmin,33,0.8484848484848485,0,false,false
753638,dkomanov/fizteh-java-task,java,533,1355587138,1355648226,1355648226,1018,1018,false,false,false,1,2,0,3,72,52355,227,0,11,13.10285550568236,0.0,0.0,4,verytable,31,1.0,0,false,false
753499,dkomanov/fizteh-java-task,java,532,1355579688,1355579790,1355579790,1,1,false,false,false,1,1,0,1,72,52338,36,0,2,13.107111467767206,0.0,0.0,4,AlexanderKuzmin,32,0.84375,0,false,false
