pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,git_merged,conflict,forward_links,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
505738,neo4j/community,java,970,1352191406,1352193218,1352193218,30,30,false,false,false,20,1,0,3,28,116026,12,0,48,622.5328805612536,16.435971247823762,49.17863237550205,506,systay,140,0.7,14,false,true
505739,neo4j/community,java,967,1352102642,1352126567,1352126567,398,398,false,false,false,20,1,0,2,28,116016,0,0,16,622.8106468073369,16.43738794649014,49.191490828851194,506,jakewins,60,0.6,12,false,true
505740,neo4j/community,java,966,1352039696,1352103888,1352103888,1069,1069,false,false,false,20,1,0,10,28,115337,438,0,33,625.1159645213592,16.51681593937765,49.403053660143755,506,systay,139,0.697841726618705,14,false,true
505741,neo4j/community,java,965,1351953652,,1352125097,2857,,false,false,false,21,2,0,44,28,115337,898,58,0,625.1159645213592,16.51681593937765,49.403053660143755,506,systay,138,0.7028985507246377,14,false,true
505742,neo4j/community,java,964,1351941250,,1352125123,3064,,false,false,false,21,1,0,36,28,115337,626,58,0,625.1159645213592,16.51681593937765,49.403053660143755,506,systay,137,0.708029197080292,14,false,true
505743,neo4j/community,java,960,1351775485,1351842717,1351842717,1120,1120,false,false,false,21,2,0,12,30,110488,258,70,0,617.560278039244,16.472377090724784,50.02353196727247,506,tbaum,6,0.8333333333333334,3,false,true
505744,neo4j/community,java,959,1351764978,1351770834,1351770835,97,97,false,false,false,21,1,0,32,30,114250,1002,726,25,627.2472647702407,16.463894967177243,49.66301969365427,506,jakewins,59,0.5932203389830508,12,false,true
505745,neo4j/community,java,958,1351690487,,1351759981,1158,,false,false,false,21,1,0,16,31,114233,735,411,0,627.3143487433579,16.466345101678147,49.6353943256327,506,jakewins,58,0.603448275862069,12,false,true
505746,neo4j/community,java,957,1351622513,,1352103613,8018,,false,false,false,21,2,1,5,31,114176,2,139,0,627.2246356502243,16.47456558295964,49.642656950672645,505,wujek-srujek,0,0,0,false,false
505747,neo4j/community,java,955,1351590649,1351590809,1351590809,2,2,false,false,false,20,1,0,6,31,114152,96,0,13,627.0586586305978,16.469269044782394,49.63557362113673,505,jakewins,57,0.5964912280701754,12,false,true
505748,neo4j/community,java,952,1351517458,,1351669114,2527,,false,false,false,20,1,7,15,31,114158,207,69,0,627.0257012211146,16.468403440845144,49.632964838206696,505,tbaum,5,1.0,3,false,true
