pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,merged_using,conflict,forward_links,team_size,num_commits,num_comments,num_participants,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
2104173,jenkinsci/jenkins,java,942,1379066106,1379066541,1379066541,7,7,commits_in_master,false,false,10,1,0,0,1,80,84656,2,0,3,326.56870156870156,11.245511245511246,34.88234738234738,2096,MarkEWaite,19,0.7894736842105263,0,false,false
2097495,jenkinsci/jenkins,java,941,1378976662,1379062813,1379062813,1435,1435,commits_in_master,false,false,11,2,6,4,1,78,84653,26,0,4,326.2967644383542,11.234096842403694,34.836331848841745,2096,ctapobep,1,1.0,3,false,false
2062754,jenkinsci/jenkins,java,936,1378443159,1378452108,1378452108,149,149,github,false,false,12,1,2,1,1,72,84611,2,0,0,326.4469158856413,11.239673328527024,34.84180543900911,2096,Vlatombe,33,0.5757575757575758,4,false,false
2038261,jenkinsci/jenkins,java,935,1378272726,1378297841,1378297841,418,418,commits_in_master,false,false,12,1,2,2,1,71,84605,0,10,1,326.5291649429703,11.240470421369896,34.91519413746232,2096,Vlatombe,32,0.59375,4,false,false
2034760,jenkinsci/jenkins,java,934,1378222757,1378354605,1378354605,2197,2197,commits_in_master,false,false,12,2,2,2,1,70,84605,12,0,6,326.5291649429703,11.240470421369896,34.91519413746232,2096,jabbrwcky,0,0,9,false,false
2032789,jenkinsci/jenkins,java,932,1378186673,,1378202440,262,,unknown,false,false,12,2,2,3,2,70,84513,31,0,0,326.8846213008649,11.252706684178765,34.95320246589282,2096,artem-kirillov,0,0,0,false,false
2019943,jenkinsci/jenkins,java,930,1378064700,1378110199,1378110199,758,758,commits_in_master,false,false,12,1,1,1,2,70,84513,14,0,31,326.8846213008649,11.252706684178765,34.95320246589282,2096,olivergondza,20,0.5,1,false,true
2011207,jenkinsci/jenkins,java,929,1377933703,1378043709,1378043709,1833,1833,github,false,false,12,1,1,3,1,70,84503,0,60,0,326.3907790255967,11.242204418778032,34.88633539637646,2096,Vlatombe,31,0.5806451612903226,4,false,false
2005095,jenkinsci/jenkins,java,928,1377800686,1378979083,1378979083,19639,19639,commits_in_master,false,false,12,2,6,3,3,70,84503,13,33,10,322.7222702152586,11.20670272061347,34.318308225743465,2096,olivierdagenais,0,0,0,false,false
1998538,jenkinsci/jenkins,java,927,1377694315,,1377694963,10,,unknown,false,false,12,3,1,2,2,70,84498,61,0,0,322.3271556723236,11.195531255177638,34.32033894293356,2096,nullin,1,0.0,0,false,false
1996087,jenkinsci/jenkins,java,926,1377660401,1377716521,1377716521,935,935,fixes_in_commit,false,false,12,3,3,2,1,70,84498,46,0,0,322.3271556723236,11.195531255177638,34.32033894293356,2096,ravepen,0,0,0,false,false
1991025,jenkinsci/jenkins,java,925,1377588265,1377804186,1377804186,3598,3598,github,false,false,12,2,18,5,1,70,84493,0,0,2,321.64794716722093,11.172523167599683,34.29869930053378,2096,ctapobep,0,0,3,false,false
1989485,jenkinsci/jenkins,java,924,1377554971,1377677626,1377677627,2044,2044,github,false,false,12,3,6,3,2,70,84493,0,0,0,321.64794716722093,11.172523167599683,34.29869930053378,2096,dwdyer,0,0,29,false,false
1988159,jenkinsci/jenkins,java,922,1377537668,1377544111,1377544111,107,107,github,false,false,12,1,1,1,1,70,84490,29,0,9,321.65936797254113,11.172919872174221,34.299917149958574,2096,evernat,7,0.8571428571428571,0,false,false
1985975,jenkinsci/jenkins,java,921,1377513836,1377523414,1377523414,159,159,github,false,false,12,1,1,1,1,69,84482,0,0,0,321.68982741885844,11.173977888781042,34.30316517127909,2096,brauliobezerra,0,0,0,false,false
1980957,jenkinsci/jenkins,java,919,1377369414,1378051767,1378051767,11372,11372,github,false,false,12,4,5,2,3,69,84482,33,0,10,321.67799057787454,11.173977888781042,34.29132833029521,2096,LarryNorth,1,0.0,0,false,false
1980247,jenkinsci/jenkins,java,918,1377352069,1377528961,1377528961,2948,2948,github,false,false,12,1,1,1,2,69,84482,18,0,3,321.67799057787454,11.173977888781042,34.29132833029521,2096,evernat,6,0.8333333333333334,0,false,false
1976109,jenkinsci/jenkins,java,917,1377261651,1377757485,1377757485,8263,8263,github,false,false,12,1,2,2,1,69,84507,0,0,41,321.58282745808043,11.170672252002793,34.28118380725857,2096,mvach,2,0.5,0,false,false
1975859,jenkinsci/jenkins,java,916,1377259346,1377887146,1377887147,10463,10463,github,false,false,12,2,2,2,11,69,84507,0,405,0,321.58282745808043,11.170672252002793,34.28118380725857,2096,wolfs,7,0.2857142857142857,6,false,true
1975649,jenkinsci/jenkins,java,915,1377256489,,1377258833,39,,unknown,false,false,12,3,2,1,6,69,84507,0,298,0,321.58282745808043,11.170672252002793,34.28118380725857,2096,wolfs,6,0.3333333333333333,6,false,true
1963218,jenkinsci/jenkins,java,912,1377083504,1378282808,1378282808,19988,19988,merged_in_comments,false,false,12,3,5,3,2,70,84503,10,0,0,321.5980497733808,11.171201022448908,34.282806527578906,2096,rednuht,0,0,0,false,false
1951140,jenkinsci/jenkins,java,910,1376912237,1378354785,1378354785,24042,24042,merged_in_comments,false,true,13,1,6,4,1,69,84490,28,0,0,321.2096106048053,11.161084151970648,34.16972422771926,2096,SamGiles,0,0,8,false,false
1940476,jenkinsci/jenkins,java,909,1376596311,1376645204,1376645204,814,814,github,false,false,13,1,1,3,1,69,84434,12,0,0,321.3752753630054,11.168486628609328,34.15685624274582,2096,KostyaSha,3,0.6666666666666666,2,false,false
1926021,jenkinsci/jenkins,java,908,1376412271,1376416961,1376416961,78,78,github,false,false,12,1,1,2,1,69,84438,4,0,2,321.36005116179916,11.167957554655487,34.15523816291243,4190,KostyaSha,2,0.5,4,false,false
1925201,jenkinsci/jenkins,java,907,1376321536,1378398461,1378398461,34615,34615,commits_in_master,false,false,12,1,1,1,2,69,84439,8,0,0,321.14307369817266,11.155982425182675,34.142990798090935,2095,jglick,24,0.5416666666666666,10,false,true
1924170,jenkinsci/jenkins,java,906,1376309088,,1376328287,319,,unknown,false,false,12,1,1,2,1,69,84440,12,0,0,321.1392704879204,11.155850307910944,34.14258645191852,2095,rbierman,1,0.0,0,false,false
1924115,jenkinsci/jenkins,java,905,1376308401,1376308595,1376308595,3,3,github,false,false,12,1,0,1,1,69,84445,15,0,3,321.1202557877909,11.155189768488365,34.14056486470484,2095,Vlatombe,30,0.5666666666666667,4,false,false
1921719,jenkinsci/jenkins,java,903,1376260012,1376286911,1376286911,448,448,github,false,false,12,1,1,1,1,69,84444,3,0,1,321.12405854767655,11.155321870115106,34.140969162995596,2095,oleg-nenashev,1,0.0,1,false,false
1902942,jenkinsci/jenkins,java,901,1375876026,1376463731,1376463731,9795,9795,github,false,false,12,1,0,0,1,68,84374,0,10,0,321.3430677696921,11.164576765354257,34.169293858297586,2094,ssogabe,7,0.5714285714285714,8,false,true
1902665,jenkinsci/jenkins,java,900,1375873117,1376094589,1376094589,3691,3691,github,false,false,12,1,1,1,1,68,84374,0,0,0,321.3430677696921,11.164576765354257,34.169293858297586,2094,mpapo,4,0.75,3,false,false
1901104,jenkinsci/jenkins,java,899,1375850341,1376312484,1376312484,7702,7702,github,false,false,12,1,1,1,1,68,84374,5,0,0,321.3430677696921,11.164576765354257,34.169293858297586,2094,mvach,1,0.0,0,false,false
1900715,jenkinsci/jenkins,java,898,1375842880,1376500364,1376500364,10958,10958,merged_in_comments,false,false,12,2,7,4,2,68,84374,40,6,0,321.3430677696921,11.164576765354257,34.169293858297586,2094,arangamani,1,1.0,6,false,false
1890947,jenkinsci/jenkins,java,897,1375694268,1375705352,1375705352,184,184,github,false,false,12,1,0,0,2,68,84334,24,67,0,320.9263167880096,11.158014561149715,34.173642896103594,2094,lvotypko,39,0.5641025641025641,1,false,false
1887547,jenkinsci/jenkins,java,896,1375598950,1375600320,1375600320,22,22,github,false,false,12,1,0,0,1,68,84334,0,43,2,320.961889629331,11.158014561149715,34.173642896103594,2094,lvotypko,38,0.5526315789473685,1,false,false
1885645,jenkinsci/jenkins,java,895,1375531374,1376816086,1376816086,21411,21411,github,false,false,12,1,2,1,1,68,84334,17,0,4,320.961889629331,11.158014561149715,34.173642896103594,2094,kutzi,19,0.5789473684210527,8,false,true
1885073,jenkinsci/jenkins,java,893,1375509388,1375721433,1375721433,3534,3534,github,false,false,12,1,1,1,2,68,84334,70,0,5,320.961889629331,11.158014561149715,34.173642896103594,2094,Vlatombe,29,0.5517241379310345,4,false,false
1879627,jenkinsci/jenkins,java,892,1375449966,1375467209,1375467209,287,287,commit_sha_in_comments,false,false,12,2,11,2,4,68,84327,49,140,0,320.00426909530756,11.123364995790197,34.022317881580044,2094,olivergondza,18,0.5555555555555556,1,false,true
1873659,jenkinsci/jenkins,java,891,1375360599,1378979262,1378979262,60311,60311,commits_in_master,false,false,12,2,5,3,3,68,84316,22,0,135,320.0460173632525,11.124816167749893,34.026756487499405,2094,ndeloof,14,0.7857142857142857,45,false,true
1876333,jenkinsci/jenkins,java,890,1375358779,1375359888,1375359890,18,18,github,false,false,12,1,0,0,8,68,84316,0,21,5,320.0460173632525,11.124816167749893,34.026756487499405,2094,olivergondza,17,0.5294117647058824,1,false,true
1869216,jenkinsci/jenkins,java,888,1375251960,1375306265,1375306265,905,905,github,false,false,12,1,0,0,1,68,84316,0,733,0,310.2139570188339,10.579249490013758,32.62725935765454,2094,lvotypko,37,0.5405405405405406,0,false,false
1869204,jenkinsci/jenkins,java,887,1375251831,1375306224,1375306224,906,906,github,false,false,12,1,0,0,1,68,84316,0,246,0,310.2139570188339,10.579249490013758,32.62725935765454,2094,lvotypko,36,0.5277777777777778,0,false,false
1859947,jenkinsci/jenkins,java,886,1375109359,1375136547,1375136547,453,453,github,false,false,12,1,0,0,1,67,83920,18,0,12,310.8913250714966,10.641086749285032,32.73355576739752,2094,MarkEWaite,18,0.7777777777777778,0,false,false
1859717,jenkinsci/jenkins,java,885,1375106751,1375109246,1375109246,41,41,commits_in_master,false,false,12,1,0,0,1,67,83920,18,0,12,310.8913250714966,10.641086749285032,32.73355576739752,4188,MarkEWaite,17,0.8235294117647058,0,false,false
1846721,jenkinsci/jenkins,java,884,1374922366,1378978825,1378978825,67607,67607,commits_in_master,false,false,12,2,0,0,2,67,83918,0,0,0,310.898734478896,10.64134035606187,32.734335899330304,2094,Vlatombe,28,0.5714285714285714,4,false,false
1844275,jenkinsci/jenkins,java,883,1374863629,1374890122,1374890122,441,441,github,false,false,12,3,0,0,2,66,83836,0,0,0,310.5229257121046,10.651748652130351,32.7424972565485,2094,daniel-beck,0,0,7,false,false
1826412,jenkinsci/jenkins,java,881,1374674622,1374730373,1374730373,929,929,commit_sha_in_comments,false,false,12,2,0,1,2,67,83825,0,4,0,310.4682373993439,10.64121682075753,32.74679391589621,2094,jtnord,0,0,0,false,true
1825774,jenkinsci/jenkins,java,880,1374668026,1374890932,1374890932,3715,3715,github,false,false,12,1,0,0,2,67,83825,56,0,24,310.4682373993439,10.64121682075753,32.74679391589621,2094,evilmilo,0,0,0,false,false
1818071,jenkinsci/jenkins,java,879,1374610958,1374611644,1374611644,11,11,github,false,false,12,1,0,0,1,66,83614,2,0,1,309.72086014303824,10.560432463463055,32.72179300117205,4188,MarkEWaite,16,0.8125,0,false,false
1818029,jenkinsci/jenkins,java,878,1374610410,1374611847,1374611847,23,23,github,false,false,12,1,0,0,2,66,83614,10,0,1,309.72086014303824,10.560432463463055,32.72179300117205,2094,MarkEWaite,15,0.8,0,false,false
1815108,jenkinsci/jenkins,java,876,1374590613,1374611802,1374611802,353,353,github,false,false,12,1,0,0,1,66,83614,2,0,0,309.72086014303824,10.560432463463055,32.72179300117205,2094,MarkEWaite,14,0.7857142857142857,0,false,false
1814678,jenkinsci/jenkins,java,875,1374586780,1374611771,1374611771,416,416,github,false,false,12,1,0,0,1,66,83614,2,0,0,309.72086014303824,10.560432463463055,32.72179300117205,2094,MarkEWaite,13,0.7692307692307693,0,false,false
1814238,jenkinsci/jenkins,java,874,1374583306,1374585095,1374585095,29,29,github,false,false,12,1,0,0,1,66,83614,2,0,0,309.72086014303824,10.560432463463055,32.72179300117205,2094,MarkEWaite,12,0.75,0,false,false
1811400,jenkinsci/jenkins,java,873,1374547227,1374890863,1374890863,5727,5727,commit_sha_in_comments,false,false,12,1,0,1,1,65,83614,59,0,0,309.72086014303824,10.560432463463055,32.72179300117205,2094,nullin,0,0,0,false,false
1807699,jenkinsci/jenkins,java,872,1374501296,,1374578322,1283,,unknown,false,false,12,1,3,4,2,65,83571,6,0,0,309.85628986131553,10.56586614974094,32.73862942886887,2094,MarkEWaite,11,0.8181818181818182,0,false,false
2005076,jenkinsci/jenkins,java,871,1374360958,1374383280,1374383280,372,372,github,false,false,12,1,0,0,1,65,83571,6,0,0,309.85628986131553,10.56586614974094,32.73862942886887,2094,MarkEWaite,10,0.8,0,false,false
2005077,jenkinsci/jenkins,java,870,1374360850,1374383229,1374383229,372,372,github,false,false,12,1,0,0,1,65,83571,1,0,0,309.85628986131553,10.56586614974094,32.73862942886887,2094,MarkEWaite,9,0.7777777777777778,0,false,false
2005078,jenkinsci/jenkins,java,869,1374360783,1374383200,1374383200,373,373,github,false,false,12,1,0,1,12,65,83571,28,0,23,309.85628986131553,10.56586614974094,32.73862942886887,2094,MarkEWaite,8,0.75,0,false,false
1800329,jenkinsci/jenkins,java,868,1374341506,1374383142,1374383142,693,693,github,false,false,12,1,1,1,31,65,83571,87,2,47,309.85628986131553,10.56586614974094,32.73862942886887,2094,MarkEWaite,7,0.7142857142857143,0,false,false
1799506,jenkinsci/jenkins,java,867,1374322113,,1374341286,319,,unknown,false,false,12,2,2,2,31,65,83571,89,2,0,309.85628986131553,10.56586614974094,32.73862942886887,2094,MarkEWaite,6,0.8333333333333334,0,false,false
1798840,jenkinsci/jenkins,java,866,1374303877,1374665635,1374665635,6029,6029,github,false,false,12,1,1,1,2,65,83571,24,20,5,309.85628986131553,10.56586614974094,32.73862942886887,2094,Vlatombe,27,0.5555555555555556,4,false,false
1798837,jenkinsci/jenkins,java,865,1374303851,,1374922396,10309,,unknown,false,false,12,1,2,3,3,65,83571,8,0,0,309.85628986131553,10.56586614974094,32.73862942886887,2094,Vlatombe,26,0.5769230769230769,4,false,false
