pull_req_id,project_name,lang,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,git_merged,conflict,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
1861554,vert-x/vert.x,java,709,1375127407,,1375151177,396,,false,false,2,1,0,2,8,21475,2,3,7,497.36903376018626,32.22351571594878,7.124563445867288,3464,lance,4,0.25,50,false,false
1814554,vert-x/vert.x,java,701,1374585873,,1374633672,796,,false,false,2,1,1,1,8,21478,7,0,8,497.2995623428625,32.21901480584784,7.1235683024490175,3464,danthegoodman,0,0,0,false,false
1808079,vert-x/vert.x,java,698,1374279321,,1374505064,3762,,false,false,2,1,1,1,10,21479,2,0,0,497.2764095162717,32.21751478187997,7.123236649750919,1732,lance,3,0.3333333333333333,25,false,false
1789633,vert-x/vert.x,java,695,1374136513,,1374138682,36,,false,false,2,7,1,20,10,21199,970,0,211,503.13694042171795,32.643049200433985,7.217321571772254,3464,normanmaurer,4,0.0,152,true,false
1774422,vert-x/vert.x,java,692,1373904470,,1373904879,6,,false,false,2,1,0,20,9,20836,210,0,196,511.75849491265114,33.211748896141295,7.343060088308697,3464,normanmaurer,3,0.0,152,true,false
1715927,vert-x/vert.x,java,686,1373271211,,1373304163,549,,false,false,2,1,7,1,10,20784,4,0,0,513.0388760585065,33.29484218629715,7.361431870669747,3464,sgougi,2,0.5,4,false,false
1697215,vert-x/vert.x,java,676,1372960823,,1373003176,705,,false,false,2,1,2,1,8,20764,8,0,0,513.4367173954922,33.326911963012904,7.36852244268927,3464,bckfnn,1,1.0,0,false,false
1693297,vert-x/vert.x,java,674,1372910802,1372927939,1372927939,285,285,false,false,2,1,0,1,8,20764,2,0,4,513.4367173954922,33.326911963012904,7.36852244268927,1732,sgougi,1,0.0,2,false,false
1683853,vert-x/vert.x,java,671,1372833180,,1372851629,307,,false,false,2,1,6,1,8,20763,4,0,0,513.4614458411597,33.32851707364061,7.368877329865627,1732,sgougi,0,0,2,false,false
1683095,vert-x/vert.x,java,670,1372816312,,1372928003,1861,,false,false,2,1,2,1,8,20753,2,0,2,513.7088613694406,33.3445766877078,7.372428082686841,3464,VladimirTechMan,2,1.0,8,false,false
1635812,vert-x/vert.x,java,657,1371996041,,1372261150,4418,,false,false,2,6,2,18,8,21439,90,24,21,497.2713279537292,32.277624889220576,7.1365268902467465,1732,jpmeyer,0,0,0,false,false
1613582,vert-x/vert.x,java,649,1371571707,,1372313306,12359,,false,false,2,2,1,15,10,21386,88,0,52,498.5036940054241,32.35761713270364,7.154213036565978,3464,matasaru,0,0,0,false,false
1574860,vert-x/vert.x,java,630,1370191774,,1370859828,11134,,false,false,3,1,1,1,41,21474,1,0,0,494.41184688460464,32.13188041352333,7.124895222129086,1731,momamene,1,0.0,0,false,false
1726255,vert-x/vert.x,java,629,1370191454,,1370191752,4,,false,false,3,1,0,1,41,21474,1,0,0,494.41184688460464,32.13188041352333,7.124895222129086,3462,momamene,0,0,0,false,false
1507488,vert-x/vert.x,java,616,1369177803,1369200743,1369200743,382,382,false,false,3,1,0,1,45,21081,4,0,3,493.95189981499925,32.39884255965087,7.115411982353779,1731,yatindra,0,0,0,false,false
1450047,vert-x/vert.x,java,595,1368012504,,1368019494,116,,false,false,3,1,0,1,65,20643,10,0,3,491.1592307319673,32.650293077556555,7.266385699752943,3462,Narigo,9,0.3333333333333333,2,false,false
1425646,vert-x/vert.x,java,583,1367509273,,1367842807,5558,,false,false,3,1,0,4,74,20455,30,30,0,494.25568320703985,32.85260327548277,7.333170373991689,3462,lance,2,0.5,50,false,false
1412391,vert-x/vert.x,java,575,1367301341,,1367557546,4270,,false,false,3,3,3,2,78,20215,39,0,98,495.6220628246352,33.044768736087065,7.4202325006183525,3462,julien3,5,0.6,0,false,false
1406849,vert-x/vert.x,java,573,1367222667,,1367337816,1919,,false,false,3,7,0,35,79,20215,1791,223,0,495.6220628246352,33.044768736087065,7.4202325006183525,1731,normanmaurer,2,0.0,57,true,false
1734860,vert-x/vert.x,java,566,1366683958,,1366709140,419,,false,false,3,2,0,5,80,21086,31,4,0,473.0152707957887,31.584937873470547,7.113724746277151,1731,winash,3,0.3333333333333333,6,false,false
1394899,vert-x/vert.x,java,562,1366526563,,1366685303,2645,,false,false,3,2,0,5,80,20945,31,4,0,471.99809023633327,31.606588684650273,6.875149200286464,3462,winash,2,0.5,12,false,false
1354872,vert-x/vert.x,java,555,1365601624,,1371482265,98010,,false,false,3,250,1,326,82,20271,36195,3470,0,495.48616249815007,33.20013812836071,7.054412707809186,3462,npahucki,7,0.2857142857142857,0,false,false
1322634,vert-x/vert.x,java,549,1364846262,,1366433539,26454,,false,false,3,3,3,4,82,20271,222,0,0,495.48616249815007,33.20013812836071,7.054412707809186,1731,dsklyut,2,1.0,6,false,false
1265222,vert-x/vert.x,java,537,1363427912,,1371482216,134298,,false,false,2,250,1,851,86,20235,62569,6053,752,479.81220657277,33.259204348900425,7.017543859649123,1731,mcgin,0,0,0,false,false
1263716,vert-x/vert.x,java,536,1363376906,,1366641463,54469,,false,false,2,3,0,4,87,20214,35,0,25,480.3106757692688,33.293756802216286,7.024834273275948,3462,zznate,0,0,108,false,false
1251992,vert-x/vert.x,java,534,1363167938,,1369654419,108168,,false,false,2,250,1,895,86,19796,57685,6231,305,484.7949080622348,33.69367548999798,7.173166296221459,3462,goddabuzz,0,0,6,false,false
1250112,vert-x/vert.x,java,533,1363124844,,1363155641,513,,false,false,2,1,0,1,86,19790,3,0,4,484.0828701364325,33.65336028297119,7.17534108135422,3462,johnoliver,0,0,8,false,false
1246390,vert-x/vert.x,java,532,1363074767,,1363181848,1784,,false,false,2,37,29,63,86,19627,10696,44,132,484.3837570693433,33.47429561318592,7.234931471951903,3462,normanmaurer,0,0,86,false,false
1225890,vert-x/vert.x,java,528,1362555101,,1362587634,542,,false,false,2,1,0,1,85,19556,27,0,0,487.6764164450808,33.595827367559835,7.26119860912252,1731,chrisichris,1,0.0,3,false,false
1223907,vert-x/vert.x,java,526,1362478847,,1362588813,1832,,false,false,2,1,0,1,85,19556,28,0,2,487.6764164450808,33.595827367559835,7.26119860912252,3462,chrisichris,0,0,6,false,false
1223726,vert-x/vert.x,java,525,1362475288,,1362588870,1893,,false,false,2,1,0,1,85,19556,3,0,9,487.6764164450808,33.595827367559835,7.26119860912252,3462,julien3,4,0.75,0,false,false
1215576,vert-x/vert.x,java,523,1362276308,,1363107006,13844,,false,false,2,3,1,3,85,19557,40,0,0,494.6055120928568,33.696374699596056,7.363092498849517,3462,phungleson,0,0,0,false,false
1191542,vert-x/vert.x,java,521,1361798239,,1362588830,13176,,false,false,2,1,0,1,98,19186,0,0,0,504.16970707807775,34.34796205566559,7.505472740539977,3462,lance,1,1.0,46,false,false
1182207,vert-x/vert.x,java,518,1361519904,,1363107124,26453,,false,false,2,1,0,1,97,19021,18,0,3,509.64723200672944,34.64591766994374,7.570579885389833,3462,mladenmarkov,0,0,2,false,false
1160733,vert-x/vert.x,java,514,1361022456,,1363103092,34677,,false,false,2,2,0,5,97,19595,0,0,10,494.5139066088288,33.63102832355193,7.3488134728247,3460,matzew,0,0,76,false,false
1142877,vert-x/vert.x,java,510,1360510558,1360518563,1360518563,133,133,false,false,2,1,0,1,97,19452,2,0,10,483.8062924120913,33.312769895126465,6.9401603948180135,3460,kastork,0,0,12,false,false
1693234,vert-x/vert.x,java,507,1360093307,1360093772,1360093772,7,7,false,false,2,1,0,1,97,19062,0,0,7,480.6421152030217,33.31234917637184,6.977232189696779,3460,lance,0,0,46,false,false
1248711,vert-x/vert.x,java,505,1359751125,,1363106584,55924,,false,false,2,3,0,5,96,18967,22,23,0,485.84383402752144,33.58464701850583,7.170348500026361,1730,roughley,0,0,1,false,false
