pull_req_id,project_name,github_id,created_at,merged_at,closed_at,lifetime_minutes,mergetime_minutes,team_size,num_commits,num_comments,files_changed,perc_external_contribs,sloc,src_churn,test_churn,commits_on_files_touched,test_lines_per_kloc,test_cases_per_kloc,asserts_per_kloc,watchers,requester,prev_pullreqs,requester_succ_rate,followers,intra_branch,main_team_member
1768381,SpoutDev/SpoutAPI,573,1373740628,,1374629323,14811,,9,2,0,100,21,36923,518,63,0,257.1297023535466,10.372938276954743,384.66538471955147,326,thehutch,8,0.375,4,false,false
1768094,SpoutDev/SpoutAPI,572,1373732327,1373732509,1373732509,3,3,9,1,0,4,21,36924,23,0,4,257.12273859820175,10.372657350232911,384.65496695915937,163,thehutch,7,0.2857142857142857,2,false,false
1764599,SpoutDev/SpoutAPI,571,1373637767,1373743551,1373743551,1763,1763,9,1,0,25,21,36920,184,0,48,257.1505958829903,10.373781148429035,384.69664138678223,163,Grinch,1,1.0,0,false,false
1715020,SpoutDev/SpoutAPI,569,1373259967,1373261332,1373261332,22,22,8,1,0,1,21,39233,2,0,11,255.04039966354853,10.679784874977697,381.23518466596994,326,kitskub,25,0.64,8,false,false
1705752,SpoutDev/SpoutAPI,568,1373122455,1373127337,1373127337,81,81,8,1,0,2,21,39232,4,0,13,255.04690048939642,10.68005709624796,381.24490212071777,326,kitskub,24,0.625,8,false,false
1692815,SpoutDev/SpoutAPI,567,1372900203,1372900241,1372900241,0,0,8,1,0,3,20,39191,90,64,1,254.5227220535327,10.66571406700518,380.47000586869433,326,kitskub,23,0.6086956521739131,8,false,false
1676872,SpoutDev/SpoutAPI,566,1372710996,1372778943,1372778943,1132,1132,8,19,0,73,20,39880,2465,852,113,253.4854563691073,10.606820461384153,381.34403209628886,163,kitskub,22,0.6363636363636364,3,false,false
1668429,SpoutDev/SpoutAPI,565,1372474178,,1372483265,151,,8,1,0,1,19,39111,2,0,0,252.9978778348802,10.661962107846897,378.947099281532,163,Snaipe,16,0.9375,3,false,false
1668213,SpoutDev/SpoutAPI,564,1372464154,1372617665,1372617665,2558,2558,8,1,0,7,19,39111,57,165,3,252.9978778348802,10.661962107846897,378.947099281532,326,Snaipe,15,0.9333333333333333,6,false,false
1588525,SpoutDev/SpoutAPI,563,1371075720,1371161877,1371161877,1435,1435,8,8,0,33,12,40214,2404,0,22,251.380116377381,10.518724822201223,378.17675436415175,326,kitskub,21,0.6666666666666666,6,false,false
1583645,SpoutDev/SpoutAPI,562,1371001980,1371004759,1371004759,46,46,8,1,0,11,11,40188,1343,0,5,251.54274907932717,10.5255300089579,378.42141932915297,326,kitskub,20,0.7,6,false,false
1576879,SpoutDev/SpoutAPI,561,1370887228,1370887254,1370887254,0,0,8,1,0,1,10,40131,6,0,1,251.90002741023147,10.540479928235031,378.9589095711545,326,croxis,0,0,10,false,false
1574682,SpoutDev/SpoutAPI,560,1370856563,,1374346885,58172,,8,4,1,3,9,40131,295,132,0,251.90002741023147,10.540479928235031,378.9589095711545,326,Wolf480pl,1,0.0,0,false,false
1567550,SpoutDev/SpoutAPI,559,1370645968,1370742481,1370742481,1608,1608,8,2,5,10,9,40154,557,4,30,251.75574039946207,10.534442396772425,378.7418439009812,326,kitskub,19,0.7368421052631579,4,false,false
1556881,SpoutDev/SpoutAPI,558,1370480281,,1370481272,16,,8,1,0,33,8,40131,338,2,0,251.90002741023147,10.540479928235031,378.9589095711545,326,thehutch,6,0.3333333333333333,4,false,false
1556193,SpoutDev/SpoutAPI,557,1370464284,1370691450,1370691450,3786,3786,8,3,0,15,8,40149,511,2,18,251.7870930782834,10.53575431517597,378.78901093426987,163,kitskub,18,0.7777777777777778,2,false,false
1734653,SpoutDev/SpoutAPI,556,1370294072,1370295521,1370295521,24,24,8,1,0,2,8,40060,16,0,0,252.34648027958062,10.55916125811283,379.63055416874687,326,thehutch,5,0.2,4,false,false
1732559,SpoutDev/SpoutAPI,555,1370274526,1370277232,1370277232,45,45,8,1,0,1,7,42390,2,0,2,238.24015097900448,10.049539985845719,359.7074781788158,326,Contex,0,0,20,false,false
1724555,SpoutDev/SpoutAPI,554,1370135595,1370139600,1370139600,66,66,8,1,0,1,7,42472,5,0,0,222.94688265210021,10.030137502354492,339.8003390469015,326,limdingwen,0,0,0,false,false
1489651,SpoutDev/SpoutAPI,553,1368750145,1368756144,1368756144,99,99,8,1,0,1,7,42341,62,0,6,219.07843461420373,9.990316714295837,333.4120592333672,326,kitskub,17,0.7647058823529411,4,false,false
1484015,SpoutDev/SpoutAPI,552,1368654776,1368663148,1368663148,139,139,10,2,4,5,8,42322,200,14,8,218.94050375691128,9.994801757950947,333.30182883606636,163,kitskub,16,0.75,2,false,false
1478157,SpoutDev/SpoutAPI,551,1368560160,,1370278424,28637,,10,3,0,43,7,42279,19649,1710,35,219.13952553277042,10.004967004896047,333.6171621845361,326,W1ndwaker,58,0.8448275862068966,14,true,true
1468558,SpoutDev/SpoutAPI,550,1368402860,,1368581287,2973,,10,2,9,23,8,42254,531,6,0,219.2691816159417,10.010886543285844,333.8145501017655,163,kitskub,15,0.8,2,false,false
1447062,SpoutDev/SpoutAPI,549,1367954695,1368646098,1368646099,11523,11523,10,2,0,3,11,41903,100,0,1,214.59084075125887,9.951554781280576,326.44440732167146,163,Snaipe,14,0.9285714285714286,3,false,false
1434085,SpoutDev/SpoutAPI,548,1367661681,1367951441,1367951441,4829,4829,10,2,11,3,13,41695,50,90,4,212.83127473318146,9.929248111284327,322.6046288523804,326,Snaipe,13,0.9230769230769231,6,false,false
1369220,SpoutDev/SpoutAPI,547,1365954136,1365957282,1365957282,52,52,10,1,0,1,18,41466,12,0,0,211.93266772777696,9.935851058698692,320.238267496262,326,Sleaker,37,0.7567567567567568,24,false,false
1320754,SpoutDev/SpoutAPI,546,1364815704,1364837116,1364837116,356,356,12,1,0,1,17,41365,10,0,1,212.45013900640637,9.960111205125106,321.02018614770947,326,Snaipe,12,0.9166666666666666,6,false,false
