"","classifier","auc","acc","prec","rec","run"
"1","randomforest",0.762599614856444,0.6125,0.684775318578135,0.710822206605762,1
"2","svm",0.656474116379215,0.586267605633803,0.6044474393531,0.617709065354884,1
"3","binlogregr",0.62057557289236,0.565845070422535,0.587017609176451,0.585382993675334,1
"4","naive bayes",0.607200686771564,0.554577464788732,0.581961345740873,0.581869290231904,1
"5","randomforest",0.756539129141044,0.616197183098592,0.678807172557172,0.688732394366197,2
"6","svm",0.361017655227137,0.419718309859155,0.4,0.389788732394366,2
"7","binlogregr",0.606255207300138,0.558450704225352,0.56977582506644,0.570422535211268,2
"8","naive bayes",0.587029607220788,0.549295774647887,0.563409563409563,0.565140845070423,2
"9","randomforest",0.754680998613037,0.617957746478873,0.666222518321119,0.713876967095851,3
"10","svm",0.359068780643638,0.420774647887324,0.382680518326852,0.379828326180258,3
"11","binlogregr",0.605488026286809,0.55387323943662,0.575524475524475,0.584406294706724,3
"12","naive bayes",0.587061167231174,0.544718309859155,0.559971858534446,0.570815450643777,3
"13","randomforest",0.775726489368297,0.625,0.703933505814574,0.724381625441696,4
"14","svm",0.647564813092802,0.580633802816901,0.602890571231934,0.619434628975265,4
"15","binlogregr",0.615946190564749,0.561971830985916,0.572230014025245,0.573851590106007,4
"16","naive bayes",0.59211480999318,0.54612676056338,0.564726057762271,0.57243816254417,4
"17","randomforest",0.762547882459597,0.615845070422535,0.684389911383776,0.705923836389281,5
"18","svm",0.63142482924981,0.576056338028169,0.586685159500693,0.598730606488011,5
"19","binlogregr",0.600009869093175,0.552112676056338,0.566442953020134,0.564527503526093,5
"20","naive bayes",0.585962529185736,0.541901408450704,0.562304928853854,0.563469675599436,5
"21","randomforest",0.760147795466944,0.614788732394366,0.68403247631935,0.705244755244755,6
"22","svm",0.645106878936666,0.579929577464789,0.601826224988245,0.611888111888112,6
"23","binlogregr",0.618450131428854,0.563380281690141,0.584098953695181,0.57972027972028,6
"24","naive bayes",0.594710856519368,0.547535211267606,0.569726699369306,0.566783216783217,6
"25","randomforest",0.758595089030661,0.611267605633803,0.685772083614295,0.715941011235955,7
"26","svm",0.642870108074653,0.577464788732394,0.600888805504727,0.613061797752809,7
"27","binlogregr",0.609941856313084,0.552816901408451,0.579056865464632,0.57689606741573,7
"28","naive bayes",0.584324711959626,0.543661971830986,0.567179878944585,0.566713483146067,7
"29","randomforest",0.750942275227684,0.610035211267606,0.682100898410504,0.695850914205345,8
"30","svm",0.64825932009387,0.584859154929578,0.606091527520099,0.618143459915612,8
"31","binlogregr",0.611636305566963,0.554577464788732,0.585553997194951,0.585443037974684,8
"32","naive bayes",0.597615746113362,0.548943661971831,0.571949633761246,0.579465541490858,8
"33","randomforest",0.760687172216034,0.61919014084507,0.695238095238095,0.695770804911323,9
"34","svm",0.640884800753023,0.580281690140845,0.614962251201098,0.604365620736699,9
"35","binlogregr",0.601650512042989,0.559507042253521,0.587883019830529,0.569577080491132,9
"36","naive bayes",0.590502630215005,0.554577464788732,0.57987012987013,0.569577080491132,9
"37","randomforest",0.75716443452381,0.612323943661972,0.667905255488049,0.705,10
"38","svm",0.639609126984125,0.582394366197183,0.588072122052705,0.605714285714286,10
"39","binlogregr",0.604535714285714,0.553521126760563,0.560760766424082,0.568571428571429,10
"40","naive bayes",0.584126984126983,0.539788732394366,0.552941176470588,0.561785714285714,10
