"","classifier","auc","acc","prec","rec","run"
"1","randomforest",0.73351165777712,0.6165,0.653386454183267,0.667006109979633,1
"2","svm",0.362033298788808,0.422,0.391634980988593,0.380855397148676,1
"3","binlogregr",0.603295467731544,0.558,0.568294962026323,0.578411405295316,1
"4","naive bayes",0.582020574666192,0.543,0.551825964244782,0.566191446028513,1
"5","randomforest",0.733099789810829,0.6175,0.632798573975045,0.720618556701031,2
"6","svm",0.374695225703133,0.4295,0.398198198198198,0.397938144329897,2
"7","binlogregr",0.583985587028326,0.547,0.535170717592593,0.54639175257732,2
"8","naive bayes",0.573299969972976,0.53,0.525172351941104,0.54020618556701,2
"9","randomforest",0.695600294701775,0.597,0.626346849419379,0.661157024793388,3
"10","svm",0.425757976167596,0.462,0.429400386847195,0.428719008264463,3
"11","binlogregr",0.57035604458966,0.543,0.536517405951712,0.557851239669422,3
"12","naive bayes",0.554231533089885,0.529,0.519886434969134,0.543388429752066,3
"13","randomforest",0.720802101351784,0.604,0.632026638891519,0.698347107438017,4
"14","svm",0.604436943430072,0.556,0.551330798479088,0.587809917355372,4
"15","binlogregr",0.582408386187456,0.54,0.54581746031746,0.564049586776859,4
"16","naive bayes",0.569679351656096,0.538,0.533400946585531,0.559917355371901,4
"17","randomforest",0.755998142097507,0.618,0.664179104477612,0.734504132231405,5
"18","svm",0.341005189313857,0.414,0.363095238095238,0.357438016528926,5
"19","binlogregr",0.62797905054776,0.567,0.578383964804491,0.603305785123967,5
"20","naive bayes",0.613448170927028,0.565,0.556680265170831,0.578512396694215,5
"21","randomforest",0.749364427985186,0.619,0.650987645580374,0.707216494845361,6
"22","svm",0.357605845260735,0.424,0.385887234561875,0.383505154639175,6
"23","binlogregr",0.60476028425583,0.556,0.562252902661229,0.579381443298969,6
"24","naive bayes",0.559103192873587,0.533,0.532354027801296,0.548453608247423,6
"25","randomforest",0.732869058386092,0.6135,0.689265536723164,0.685981308411215,7
"26","svm",0.630903426791277,0.575,0.628083491461101,0.602803738317757,7
"27","binlogregr",0.609840217063612,0.568,0.612711336220839,0.573831775700935,7
"28","naive bayes",0.600743643854889,0.561,0.60077519379845,0.563551401869159,7
"29","randomforest",0.727811644986319,0.611,0.650853889943074,0.684738955823293,8
"30","svm",0.651968431494905,0.5885,0.589390962671906,0.602409638554217,8
"31","binlogregr",0.627334037344598,0.575,0.584631942760126,0.58433734939759,8
"32","naive bayes",0.608233731739707,0.559,0.575498755366355,0.578313253012048,8
"33","randomforest",0.723616200732905,0.6175,0.651750972762646,0.65587044534413,9
"34","svm",0.349826374998,0.417,0.385385515798251,0.378542510121458,9
"35","binlogregr",0.630506792978189,0.568,0.577844621513944,0.58502024291498,9
"36","naive bayes",0.599350306444128,0.546,0.557443113772455,0.564777327935223,9
"37","randomforest",0.763261394917098,0.617,0.686626746506986,0.703252032520325,10
"38","svm",0.362482795595673,0.421,0.401234567901235,0.398373983739837,10
"39","binlogregr",0.594568209461622,0.55,0.558071091167661,0.569105691056911,10
"40","naive bayes",0.554966071314256,0.524,0.540918815762738,0.550813008130081,10
