"","classifier","auc","acc","prec","rec","run"
"1","randomforest",0.950284090909091,0.8665,0.925975773889637,0.931385869565217,1
"2","svm",0.221138010540184,0.324,0.560439121756487,0.380434782608696,1
"3","binlogregr",0.746556941699605,0.636,0.870845097883464,0.592391304347826,1
"4","naive bayes",0.715713521080368,0.624,0.857692307692308,0.58491847826087,1
"5","randomforest",0.941761215236424,0.855,0.932745364088648,0.925876010781671,2
"6","svm",0.279725339016695,0.3685,0.613095238095238,0.411725067385445,2
"7","binlogregr",0.756806452286926,0.65,0.891579829784675,0.602425876010782,2
"8","naive bayes",0.703514490482458,0.622,0.857674441144503,0.584905660377358,2
"9","randomforest",0.953658141624354,0.873,0.931863697050613,0.939353099730458,3
"10","svm",0.24856348858104,0.351,0.592368708640651,0.398921832884097,3
"11","binlogregr",0.758133266470256,0.651,0.890961799765302,0.602425876010782,3
"12","naive bayes",0.722706283039763,0.633,0.871215252196726,0.590296495956873,3
"13","randomforest",0.953007728764515,0.87,0.941891785777549,0.929238985313752,4
"14","svm",0.389464837578923,0.439,0.688932891189732,0.459279038718291,4
"15","binlogregr",0.730631545912478,0.634,0.882882395382395,0.590120160213618,4
"16","naive bayes",0.697732434746994,0.617,0.865135255980326,0.578104138851802,4
"17","randomforest",0.952248305593686,0.87,0.934883692181628,0.936170212765957,5
"18","svm",0.690277539464654,0.625,0.876725945695689,0.583776595744681,5
"19","binlogregr",0.722771533973919,0.626,0.878364784375472,0.583776595744681,5
"20","naive bayes",0.678229023678791,0.603,0.843601299578787,0.569148936170213,5
"21","randomforest",0.931299004348068,0.8525,0.917119565217391,0.924554183813443,6
"22","svm",0.320132213667816,0.39,0.619521912350598,0.424554183813443,6
"23","binlogregr",0.707591149985574,0.6245,0.848837209302326,0.585048010973937,6
"24","naive bayes",0.667891617187777,0.609,0.814502529510961,0.574759945130315,6
"25","randomforest",0.953331075159551,0.862,0.93117137951575,0.933598937583001,7
"26","svm",0.734433386561716,0.638,0.891216690042076,0.590969455511288,7
"27","binlogregr",0.771892188331694,0.643,0.896519193463886,0.594953519256308,7
"28","naive bayes",0.723513503341559,0.637,0.877495594314607,0.593625498007968,7
"29","randomforest",0.957892212002911,0.876,0.940220897438063,0.948818897637795,8
"30","svm",0.79224288140453,0.664,0.92467782492535,0.60761154855643,8
"31","binlogregr",0.714285714285715,0.611,0.870244513485935,0.573490813648294,8
"32","naive bayes",0.669092833983987,0.5935,0.846153846153846,0.563648293963255,8
"33","randomforest",0.957754680983228,0.874,0.941831376522715,0.942408376963351,9
"34","svm",0.254459135681959,0.376,0.640359281437126,0.418848167539267,9
"35","binlogregr",0.723394933002041,0.619,0.881305521856534,0.578534031413613,9
"36","naive bayes",0.689432846747715,0.614,0.856164383561644,0.576570680628272,9
"37","randomforest",0.940434267666799,0.866,0.921156373193167,0.939597315436242,10
"38","svm",0.779360442163443,0.654,0.881196870918065,0.604026845637584,10
"39","binlogregr",0.705245427029873,0.608,0.852239486450013,0.573154362416107,10
"40","naive bayes",0.676286353467562,0.5965,0.838206627680312,0.565771812080537,10
