"","classifier","auc","acc","prec","rec","run"
"1","randomforest",0.974288946978268,0.876,0.946456560125389,0.937402190923318,1
"2","svm",0.170067496391089,0.301,0.40854834629735,0.320813771517997,1
"3","binlogregr",0.804264800870472,0.686,0.854145708582834,0.668231611893584,1
"4","naive bayes",0.756362737830493,0.67,0.836538461538462,0.664319248826291,1
"5","randomforest",0.967315790370976,0.875,0.926257197495062,0.915064102564103,2
"6","svm",0.825644435351884,0.693,0.861900321568086,0.690705128205128,2
"7","binlogregr",0.794300668303326,0.682,0.842206477732794,0.676282051282051,2
"8","naive bayes",0.760316506410257,0.666,0.823529411764706,0.669070512820513,2
"9","randomforest",0.966539528432732,0.867,0.911094700145037,0.947278911564626,3
"10","svm",0.827665775047883,0.689,0.835329412889654,0.707482993197279,3
"11","binlogregr",0.799897628954495,0.675,0.824230587121212,0.702380952380952,3
"12","naive bayes",0.767733306914998,0.659,0.78740157480315,0.681122448979592,3
"13","randomforest",0.970357258345617,0.875,0.924090363854458,0.927750410509031,4
"14","svm",0.845640205107533,0.7,0.864865244019752,0.702791461412151,4
"15","binlogregr",0.817549208588984,0.682,0.84592685050351,0.697865353037767,4
"16","naive bayes",0.784452311659299,0.677,0.815354390207042,0.67816091954023,4
"17","randomforest",0.95722945146292,0.8585,0.906752411575563,0.920065252854812,5
"18","svm",0.221501405802783,0.331,0.396619869727439,0.32463295269168,5
"19","binlogregr",0.779872782224921,0.671,0.812970814783408,0.67373572593801,5
"20","naive bayes",0.737934755575788,0.658,0.776347989780826,0.65415986949429,5
"21","randomforest",0.968458299512987,0.8745,0.926634768740032,0.943181818181818,6
"22","svm",0.828816203327925,0.7015,0.849802371541502,0.691558441558442,6
"23","binlogregr",0.794642857142859,0.677,0.831686274509804,0.675324675324675,6
"24","naive bayes",0.749179856601731,0.653,0.787002551394469,0.670454545454545,6
"25","randomforest",0.968818831441783,0.868,0.916666666666667,0.937704918032787,7
"26","svm",0.186082387557797,0.3105,0.379174852652259,0.312295081967213,7
"27","binlogregr",0.798995376208492,0.683,0.828343313373254,0.680327868852459,7
"28","naive bayes",0.755317360235393,0.659,0.789767259939219,0.668852459016393,7
"29","randomforest",0.962884104166404,0.874,0.908653846153846,0.928571428571429,8
"30","svm",0.167168516582045,0.305,0.365805168986084,0.301313628899836,8
"31","binlogregr",0.812581104405781,0.686,0.84505587242463,0.694581280788177,8
"32","naive bayes",0.772867767796775,0.67,0.799635701275046,0.687192118226601,8
"33","randomforest",0.97186540696808,0.8705,0.926634768740032,0.932584269662921,9
"34","svm",0.830885890552685,0.694,0.868420652624139,0.695024077046549,9
"35","binlogregr",0.81171792175279,0.686,0.837360720023494,0.683788121990369,9
"36","naive bayes",0.760736744851427,0.678,0.78715902621352,0.662921348314607,9
"37","randomforest",0.965156333915145,0.88,0.9168,0.939967105263158,10
"38","svm",0.167356169441461,0.315,0.371428904229793,0.305921052631579,10
"39","binlogregr",0.797336533297529,0.665,0.838780887274799,0.692434210526316,10
"40","naive bayes",0.769736842105263,0.663,0.827619815049307,0.689144736842105,10
