"","classifier","auc","acc","prec","rec","run"
"1","randomforest",0.91725299939885,0.861011262880422,"0.953734079877539","0.895222129086337",1
"3","binlogregr",0.756439311622323,0.592858854541098,"0.948814272829714","0.55406538139145",1
"4","naive bayes",0.72628398166258,0.589024682482626,"0.941440434623269","0.552388935456832",1
"11","randomforest",0.921402009112468,0.860771627126767,"0.945601517910378","0.906610407876231",2
"31","binlogregr",0.761710795224374,0.603882099209202,"0.955793081571596","0.560900140646976",2
"41","naive bayes",0.718815060605646,0.592379583033789,"0.936708860759494","0.554852320675105",2
"12","randomforest",0.914399476402564,0.859094176851186,"0.944111376537977","0.906917885264342",3
"32","binlogregr",0.760606403129916,0.597891205367841,"0.949109446621381","0.557367829021372",3
"42","naive bayes",0.730530999265286,0.595614665708124,"0.937735060593397","0.556383577052868",3
"13","randomforest",0.91155337792624,0.854780733285406,"0.946460440214158","0.895663193466629",4
"33","binlogregr",0.758248435067881,0.601006470165349,"0.949408212638441","0.559279076316531",4
"43","naive bayes",0.71561699480514,0.587826503714354,"0.928643011765311","0.551957195156294",4
"14","randomforest",0.91552626832018,0.858614905343877,"0.938619374265515","0.915163472378805",5
"34","binlogregr",0.758287711386697,0.600287562904385,"0.947598250507099","0.558906426155581",5
"44","naive bayes",0.725537993235625,0.590821950635035,"0.938101788170564","0.553974069898534",5
"15","randomforest",0.919897773730697,0.864605799185238,"0.948243262913528","0.908836689038031",6
"35","binlogregr",0.778164217807906,0.600886652288521,"0.955785512699906","0.558864653243848",6
"45","naive bayes",0.738426003994619,0.593457943925234,"0.946853146853147","0.555229306487696",6
"16","randomforest",0.915702995197153,0.856937455068296,"0.944493607736957","0.90458767238953",7
"36","binlogregr",0.783365261523655,0.610711718188354,"0.961927710843373","0.565015479876161",7
"46","naive bayes",0.736626930444967,0.597651569614186,"0.941229453602318","0.558119898677174",7
"17","randomforest",0.917961540644076,0.855978912053678,"0.947384066587396","0.897941922751621",8
"37","binlogregr",0.755170413552019,0.594416486939851,"0.943708609271523","0.555539892867212",8
"47","naive bayes",0.720653551442023,0.586029235561946,"0.933791917454858","0.551029038624189",8
"18","randomforest",0.914117273362556,0.847591660675773,"0.935231972801435","0.906518010291595",9
"38","binlogregr",0.746546174533596,0.606278456745746,"0.939676736020429","0.563464837049743",9
"48","naive bayes",0.711781758888677,0.596573208722741,"0.932943294329433","0.557890222984563",9
"19","randomforest",0.912796173882293,0.849029475197699,"0.938334042358699","0.903456155384176",10
"39","binlogregr",0.770486493654875,0.611190989695663,"0.943674564148413","0.566266780919737",10
"49","naive bayes",0.742047765264347,0.60699736400671,"0.942002298423902","0.564124535846901",10
