"","classifier","auc","acc","prec","rec","run"
"1","randomforest",0.816562736205593,0.848550203690391,"0.869244467056729","0.968395691609977",1
"3","binlogregr",0.819096398249223,0.616343158399233,"0.954938642312443","0.565759637188209",1
"4","naive bayes",0.75217660707694,0.610112628804218,"0.943835887037275","0.562358276643991",1
"11","randomforest",0.822556295520282,0.842319674095375,"0.865526920132687","0.964570290267501",2
"31","binlogregr",0.83137685546563,0.629642942727055,"0.963746223564955","0.573278315310188",2
"41","naive bayes",0.69274214652338,0.591181404265516,"0.922595078299776","0.554496300512237",2
"12","randomforest",0.811536959323696,0.844955667385574,"0.865029121296531","0.970437748720864",3
"32","binlogregr",0.808006804699061,0.636592379583034,"0.972544470224285","0.576606026151222",3
"42","naive bayes",0.682922288427238,0.57764198418404,"0.917134831460674","0.544769755542922",3
"13","randomforest",0.802047384054073,0.850946561226935,"0.877425944841675","0.960979020979021",4
"33","binlogregr",0.798872231447483,0.600047927150731,"0.959249824164136","0.555524475524475",4
"43","naive bayes",0.664708936548402,0.571531272465852,"0.919783686345201","0.541118881118881",4
"14","randomforest",0.814083145714918,0.855020369039061,"0.880379421393594","0.963814866760168",5
"34","binlogregr",0.764375645899461,0.588305775221663,"0.945769173869103","0.548948106591865",5
"44","naive bayes",0.666165710120322,0.573208722741433,"0.897547250213065","0.542215988779804",5
"15","randomforest",0.820963854317503,0.853822190270788,"0.875269907806076","0.967134831460674",6
"35","binlogregr",0.814977454772074,0.61430625449317,"0.959375","0.564466292134831",6
"45","naive bayes",0.745596807009184,0.598729930505632,"0.949771689497717","0.555758426966292",6
"16","randomforest",0.820523499419456,0.846633117661155,"0.871390872751559","0.968873797396718",7
"36","binlogregr",0.810878096346423,0.609753175173736,"0.95692025664528","0.561827956989247",7
"46","naive bayes",0.658518456522952,0.573687994248742,"0.915254237288136","0.54442558007923",7
"17","randomforest",0.829529536771189,0.853582554517134,"0.880639441225305","0.961971830985916",8
"37","binlogregr",0.801871227364185,0.603642463455548,"0.951814890046807","0.55830985915493",8
"47","naive bayes",0.657690412135736,0.572369997603642,"0.915865384615385","0.542112676056338",8
"18","randomforest",0.811973975636766,0.845674574646537,"0.870189840944074","0.961026077097506",9
"38","binlogregr",0.834825273778761,0.626647495806374,"0.966596051764497","0.570011337868481",9
"48","naive bayes",0.698681203747649,0.594536304816679,"0.93291695222815","0.553854875283447",9
"19","randomforest",0.828162831038511,0.838006230529595,"0.861548411604245","0.965843857634902",10
"39","binlogregr",0.828266560465508,0.630601485741673,"0.96048632218845","0.574483352468427",10
"49","naive bayes",0.689314327658347,0.588545410975318,"0.911280652897037","0.552238805970149",10
