"","classifier","auc","acc","run"
"1","randomforest",0.719195248764412,0.568437031069479,1
"2","multinomregr",0.610408363443936,0.441164618957824,1
"3","naivebayes",0.63957601102352,0.398216473428062,1
"4","randomforest",0.71599870847698,0.558128966844335,2
"5","multinomregr",0.608453050212964,0.442812245808255,2
"6","naivebayes",0.628535316096091,0.389191674636825,2
"7","randomforest",0.708913809369079,0.552320485635744,3
"8","multinomregr",0.614585295482423,0.450365877468857,3
"9","naivebayes",0.654451509830155,0.39889210788164,3
"10","randomforest",0.716759423137411,0.559307328111109,4
"11","multinomregr",0.609643402873912,0.439261916360923,4
"12","naivebayes",0.651329748785796,0.39004992604522,4
"13","randomforest",0.710707569258726,0.551840143337037,5
"14","multinomregr",0.61243865637721,0.447304738050016,5
"15","naivebayes",0.63667966800741,0.389662627878627,5
"16","randomforest",0.7262125386936,0.563446045126635,6
"17","multinomregr",0.613007950090235,0.452599652249607,6
"18","naivebayes",0.637967890515642,0.39478974371161,6
"19","randomforest",0.719261236965733,0.565047238606515,7
"20","multinomregr",0.620695283342412,0.462518745165944,7
"21","naivebayes",0.653282299209028,0.404985359395701,7
"22","randomforest",0.718485272648678,0.562421494858746,8
"23","multinomregr",0.609410508417465,0.440494544446877,8
"24","naivebayes",0.631314290417855,0.365537291760454,8
"25","randomforest",0.723196119909849,0.563533138318975,9
"26","multinomregr",0.616347807558399,0.450582234021347,9
"27","naivebayes",0.62192757355569,0.351104370456866,9
"28","randomforest",0.712433280318298,0.553163465357201,10
"29","multinomregr",0.606809103005195,0.439410798947072,10
"30","naivebayes",0.61666393335449,0.361704427651953,10
